,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.69,0.55,0.62,0.5,0.75,0.37,0.0
gstreamer.csv,0.62,0.54,0.35,0.61,0.32,0.69,0.69
ifmo-game-1.csv,0.85,0.0,0.29,0.05,0.06,0.42,0.07
pi-qmc.csv,0.44,0.55,0.51,0.57,0.89,0.17,0.66
quarkplusplus.csv,0.46,0.57,0.56,0.4,0.37,0.43,0.07
xapian.csv,0.56,0.24,0.44,0.78,0.42,0.57,0.36
zemljanka.csv,0.69,0.48,0.13,0.24,0.45,0.52,0.84
