,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.62,0.53,0.34,0.8,0.34,0.89,0.0
gstreamer.csv,0.71,0.47,0.9,0.69,0.91,0.26,0.33
ifmo-game-1.csv,0.19,0.0,0.17,0.01,0.11,0.25,0.0
pi-qmc.csv,0.53,0.41,0.48,0.69,0.18,0.96,0.67
quarkplusplus.csv,0.34,0.28,0.35,0.06,0.12,0.14,0.22
xapian.csv,0.77,0.94,0.85,0.18,0.79,0.75,0.89
zemljanka.csv,0.61,0.81,0.97,0.94,0.84,0.66,0.0
