,ifmo-game-1.csv,quarkplusplus.csv,dataobjectsdotnet.csv,xapian.csv,pi-qmc.csv,gstreamer.csv,zemljanka.csv
dataobjectsdotnet.csv,0.54,0.55,0.6,0.42,0.53,0.4,0.0
gstreamer.csv,0.46,0.57,0.46,0.46,0.46,0.42,0.46
ifmo-game-1.csv,0.76,0.0,0.83,0.5,0.86,0.63,0.92
pi-qmc.csv,0.43,0.46,0.42,0.35,0.5,0.38,0.42
quarkplusplus.csv,0.59,0.55,0.63,0.93,0.93,0.61,0.93
xapian.csv,0.55,0.52,0.49,0.75,0.57,0.44,0.51
zemljanka.csv,0.51,0.62,0.43,0.4,0.48,0.53,0.48
