,opentibia.csv,retromenu.csv,inkscape.csv,uwom-server.csv,projectts.csv,jhotdraw.csv,encog-cs.csv,jam-daq.csv,cubefs.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,ninject.csv,trinitycore.csv,tango-cs.csv,oorexx.csv,geochat.csv,uface.csv
cubefs.csv,0.25,0.98,0.19,0.53,1.0,0.87,0.68,0.44,0.44,0.62,0.61,0.83,0.6,0.51,0.25,0.24,0.37,0.43
encog-cs.csv,0.17,0.49,0.53,0.44,0.7,0.79,0.32,0.7,0.94,0.86,0.79,0.81,0.76,0.44,0.91,0.24,0.64,0.98
geochat.csv,0.33,0.67,0.34,0.4,0.56,0.54,0.05,0.3,0.03,0.24,0.11,0.19,0.07,0.38,0.07,0.28,0.29,0.02
ibatisdb.csv,0.0,0.02,0.12,0.29,0.15,0.25,0.28,0.04,0.0,0.11,0.04,0.15,0.13,0.33,0.22,0.24,0.2,0.0
inkscape.csv,0.42,1.0,0.31,0.59,0.89,0.97,0.99,0.78,0.85,0.68,0.95,0.96,1.0,0.57,0.68,0.96,0.72,0.94
jam-daq.csv,0.08,0.29,0.09,0.19,0.0,0.41,0.04,0.31,0.03,0.16,0.21,0.1,0.13,0.18,0.14,0.16,0.35,0.02
jhotdraw.csv,0.17,0.56,0.16,0.32,0.04,0.16,0.95,0.19,0.74,0.27,0.48,0.69,0.85,0.32,0.7,0.48,0.18,0.5
ninject.csv,0.58,0.0,0.5,0.53,0.52,0.37,0.19,0.15,0.21,0.46,0.22,0.41,0.13,0.53,0.49,0.56,0.39,0.24
ofbiz.csv,0.42,0.44,0.47,0.57,0.19,0.47,0.46,0.2,0.06,0.19,0.4,0.43,0.58,0.56,0.19,0.28,0.47,0.11
oorexx.csv,0.25,0.09,0.41,0.29,0.33,0.19,0.39,0.54,0.68,0.46,0.2,0.28,0.16,0.29,0.61,0.32,0.32,0.19
opentibia.csv,0.33,0.33,0.16,0.28,0.3,0.09,0.55,0.17,0.79,0.68,0.23,0.39,0.13,0.27,0.57,0.0,0.6,0.24
projectts.csv,0.25,0.47,0.5,0.58,0.44,0.34,0.37,0.22,0.26,0.35,0.32,0.33,0.22,0.57,0.32,0.32,0.39,0.15
retromenu.csv,0.25,0.22,0.06,0.12,0.0,0.08,0.43,0.17,0.06,0.14,0.13,0.13,0.04,0.12,0.28,0.08,0.0,0.0
roolo.csv,0.58,0.82,0.62,0.65,0.52,0.72,0.67,0.56,0.68,0.24,0.82,0.78,1.0,0.66,0.75,0.76,0.79,0.93
tango-cs.csv,0.83,0.8,0.84,0.94,0.74,0.77,0.9,0.72,0.91,0.81,0.44,0.81,0.62,0.93,0.42,0.48,0.87,0.94
trinitycore.csv,0.17,0.22,0.38,0.34,0.41,0.54,0.01,0.5,0.65,0.3,0.82,0.41,0.85,0.36,0.67,0.44,0.13,0.78
uface.csv,0.58,0.71,0.88,0.76,0.63,0.92,0.71,0.94,0.82,0.57,0.71,0.56,0.78,0.74,0.72,0.96,0.94,0.06
uwom-server.csv,0.25,0.2,0.38,0.35,0.52,0.27,0.27,0.35,0.53,0.19,0.55,0.33,0.29,0.34,0.58,0.44,0.26,0.24
