,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.02,1.0,0.17,0.0,0.19,0.29,0.06,0.07,0.11,0.0,0.06,0.0,0.0,0.2,0.0,0.16,0.1,0.32,0.18,0.0
baadengine.csv,0.99,0.0,0.77,0.0,0.61,0.32,0.57,0.46,0.29,0.6,0.31,0.11,0.34,0.74,0.3,0.2,0.75,0.46,0.43,0.65
bibedt.csv,0.53,0.08,0.33,0.06,0.48,0.37,0.58,0.36,0.28,0.49,0.29,0.13,1.0,0.69,0.41,0.16,0.47,0.5,0.48,0.2
cascading.csv,0.63,0.04,0.81,0.07,0.57,0.37,0.42,0.4,0.31,0.62,0.29,0.17,0.32,0.67,0.32,0.21,1.0,0.48,0.42,0.14
dataobjectsdotnet.csv,0.42,0.11,0.52,0.0,0.48,0.22,0.41,0.32,0.24,0.4,0.16,0.0,0.53,0.52,0.29,0.13,0.35,0.98,0.36,0.79
gnome-jabber.csv,0.75,0.12,0.87,0.02,0.64,0.44,0.47,0.41,0.31,0.56,0.23,0.08,0.33,0.69,0.24,0.22,0.87,0.53,0.62,0.99
gogoego.csv,0.52,0.0,0.26,0.04,0.31,0.32,0.48,0.97,0.24,0.5,0.23,0.22,0.12,0.23,0.27,0.07,0.31,0.38,0.15,0.95
httpcontentparser.csv,0.16,0.0,0.01,0.0,0.2,0.25,0.0,0.21,0.13,0.06,0.97,0.0,0.31,0.33,0.31,0.12,0.07,0.42,0.27,0.7
impala.csv,0.62,0.15,0.3,0.02,0.72,0.44,0.18,0.38,0.3,0.06,0.12,0.0,0.24,0.39,0.06,0.96,0.68,0.53,0.39,0.86
jaxlib.csv,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jgameai.csv,0.45,0.11,0.16,0.0,0.33,1.0,0.11,0.35,0.11,0.17,0.07,0.4,0.29,0.19,0.44,0.14,0.22,0.23,0.28,0.0
jhotdraw.csv,0.2,0.0,0.15,0.0,0.38,0.21,0.0,0.23,0.96,0.06,0.31,0.0,0.0,0.48,0.22,0.09,0.17,0.35,0.13,0.16
loki-lib.csv,0.79,0.0,0.59,0.04,0.68,0.4,0.47,0.37,0.3,0.66,0.25,0.05,0.39,0.74,0.34,0.19,0.62,0.45,0.98,0.89
patterntesting.csv,0.59,0.06,0.55,0.04,0.62,0.4,0.59,0.44,0.28,0.98,0.24,0.09,0.4,0.6,0.39,0.16,0.61,0.45,0.56,0.53
pokeglobal.csv,0.83,0.15,0.81,0.03,0.98,0.36,0.45,0.41,0.33,0.56,0.19,0.09,0.32,0.7,0.24,0.22,0.74,0.51,0.56,0.71
snakeyaml.csv,0.55,0.27,0.41,0.0,0.6,0.48,0.21,0.36,0.23,0.37,0.08,0.06,0.28,0.68,0.98,0.15,0.43,0.53,0.54,0.78
unflobtactical.csv,0.45,0.29,0.22,0.0,0.45,0.2,0.46,0.28,0.28,0.44,0.2,0.29,0.32,1.0,0.09,0.11,0.24,0.41,0.49,0.93
werx.csv,0.86,0.14,1.0,0.02,0.73,0.45,0.47,0.38,0.31,0.56,0.19,0.08,0.33,0.73,0.23,0.22,0.86,0.6,0.56,0.97
zealos.csv,0.35,0.08,0.48,0.07,0.4,0.45,0.98,0.32,0.28,0.48,0.17,0.12,0.33,0.59,0.23,0.13,0.39,0.5,0.43,0.34
