,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,dataobjectsdotnet.csv,loki-lib.csv,gnome-jabber.csv
avifile.csv,0.1,0.0,0.0,0.18,0.24,0.24,0.0,0.09,0.02,0.0,0.06,0.02,0.0,0.04,0.01,0.05,0.09,0.18,0.24,0.0
baadengine.csv,0.03,0.51,1.0,0.5,0.38,0.35,0.6,0.54,0.74,0.64,0.39,0.69,0.46,0.54,0.6,0.77,0.55,0.47,0.15,0.4
bibedt.csv,0.36,0.29,0.5,0.33,0.55,0.37,0.13,0.3,0.24,0.21,0.38,0.25,0.0,0.19,0.07,0.31,0.15,0.32,0.39,0.0
cascading.csv,0.41,0.71,1.0,0.25,0.31,0.22,0.28,0.46,0.32,0.49,0.42,0.4,0.51,0.58,0.54,0.59,0.0,0.38,0.2,0.0
dataobjectsdotnet.csv,0.27,0.69,0.75,0.44,0.45,0.35,0.76,0.36,0.1,0.64,0.23,0.33,0.1,0.19,0.31,0.47,0.33,0.01,0.26,0.8
gnome-jabber.csv,0.76,0.91,1.0,0.87,0.79,0.81,0.99,0.85,0.98,1.0,0.76,0.92,1.0,0.92,0.87,0.9,0.97,0.79,0.57,0.4
gogoego.csv,0.15,0.32,0.25,0.54,0.1,0.33,0.96,0.0,0.42,0.26,0.46,0.29,0.51,0.12,0.14,0.17,0.06,0.39,0.15,1.0
httpcontentparser.csv,0.04,0.02,0.0,0.05,0.45,0.35,0.03,0.05,0.18,0.0,0.0,0.1,0.29,0.19,0.06,0.03,0.03,0.5,0.61,0.6
impala.csv,0.44,0.71,0.0,0.93,1.0,0.95,0.31,0.96,0.91,0.11,0.53,0.52,0.63,0.69,0.02,0.0,0.79,0.81,0.72,0.8
jaxlib.csv,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
jgameai.csv,0.38,0.18,0.0,0.27,0.0,0.0,0.32,0.53,0.08,0.04,0.05,0.04,0.05,0.15,0.04,0.16,0.06,0.09,0.3,0.0
jhotdraw.csv,0.07,0.06,0.0,0.25,0.21,0.25,0.03,0.15,0.0,0.0,0.08,0.06,0.1,0.23,0.22,0.1,0.03,0.26,0.33,0.0
loki-lib.csv,0.42,0.58,0.5,0.46,0.38,0.6,0.94,0.47,0.56,0.4,0.45,0.79,0.66,0.69,0.37,0.64,0.39,0.48,0.0,0.4
patterntesting.csv,0.36,0.38,1.0,0.48,0.34,0.35,0.34,0.47,0.31,0.02,0.6,0.42,0.34,0.27,0.24,0.37,0.33,0.32,0.26,0.4
pokeglobal.csv,0.64,0.86,0.75,0.7,0.03,0.59,0.97,0.62,0.49,0.66,0.85,0.85,0.78,0.92,0.77,0.69,0.67,0.66,0.76,0.2
snakeyaml.csv,0.29,0.22,0.0,0.65,0.59,0.65,0.56,0.29,0.28,0.02,0.45,0.6,0.66,0.58,0.0,0.2,0.39,0.56,0.91,0.6
unflobtactical.csv,0.47,0.37,0.25,0.19,0.38,0.16,0.63,0.24,0.29,0.11,0.63,0.08,0.51,0.0,0.1,0.25,0.15,0.17,0.7,0.8
werx.csv,1.0,0.97,0.0,0.99,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.97,1.0,1.0,1.0
zealos.csv,0.29,0.29,0.25,0.27,0.24,0.41,0.01,0.36,0.27,0.64,0.27,0.27,0.12,0.12,0.07,0.4,0.15,0.27,0.48,0.0
