,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,0.52,0.02,0.0,0.0,0.26,0.0,0.5,0.02,0.03,0.14,1.0,0.08,0.9,0.0,0.21,0.87,0.08,1.0,0.88,0.67
fbmanager.csv,0.76,0.14,0.94,0.06,0.28,0.08,0.8,0.04,0.07,0.23,0.75,0.05,0.87,0.54,0.35,1.0,0.14,0.88,0.73,0.95
fleet-simulator.csv,0.55,0.05,0.92,0.04,0.27,0.06,0.86,0.03,0.04,0.15,0.8,0.08,0.76,0.2,0.25,1.0,0.07,0.86,0.64,0.76
hannosset.csv,0.42,0.0,0.82,0.04,0.2,0.0,0.91,0.0,0.04,0.33,1.0,0.24,0.82,0.23,0.04,1.0,0.08,0.91,0.5,0.7
hydrate.csv,0.7,0.05,0.94,0.04,0.3,0.07,0.92,0.06,0.15,0.21,0.74,0.09,0.86,0.24,0.33,1.0,0.29,0.88,0.76,0.85
jgossipforum.csv,0.76,0.0,0.88,0.04,0.31,0.07,0.87,0.26,0.07,0.32,0.61,0.0,0.74,0.31,0.42,1.0,0.0,0.85,0.83,0.67
jruby.csv,0.56,0.0,0.92,0.05,0.24,0.04,0.88,0.02,0.04,0.18,0.79,0.24,0.83,0.19,0.3,0.98,0.09,0.91,0.64,0.73
madman.csv,0.71,0.03,1.0,0.03,0.29,0.07,0.84,0.01,0.12,0.42,1.0,0.08,0.86,0.31,0.24,0.86,0.12,0.88,1.0,0.68
mediaportal.csv,1.0,0.0,1.0,0.06,0.83,0.04,1.0,0.0,0.25,0.43,0.88,0.2,1.0,0.32,0.48,1.0,0.25,0.87,0.66,0.97
ninject.csv,0.76,0.04,0.91,0.03,0.26,0.02,0.8,0.01,0.04,0.18,0.84,0.0,0.79,0.2,0.29,0.65,0.42,0.85,0.67,0.73
officefloor.csv,0.86,0.0,1.0,0.07,0.54,0.06,0.82,0.09,0.04,0.21,0.82,0.08,0.75,0.27,0.46,1.0,0.5,0.9,0.75,0.88
ontopia.csv,0.65,0.02,0.9,0.03,0.35,0.06,0.94,0.05,0.05,0.17,0.75,0.06,0.76,0.22,0.23,0.82,0.09,0.95,0.61,0.71
poormans.csv,0.5,0.33,0.85,0.08,1.0,0.0,0.7,0.07,0.21,0.07,0.71,0.0,0.78,0.22,0.52,1.0,0.67,0.88,0.69,1.0
power-architect.csv,0.51,0.02,0.92,0.03,0.32,0.05,0.77,0.02,0.03,0.15,0.94,0.08,0.76,0.19,0.21,0.78,0.12,0.85,0.63,0.78
powerfolder.csv,0.62,0.0,1.0,0.06,0.22,0.06,0.81,0.03,0.31,0.33,0.85,0.07,0.79,0.28,0.33,0.95,0.04,0.9,1.0,0.63
stuproa-cims.csv,1.0,0.11,0.67,0.07,0.59,0.0,0.71,0.04,0.25,0.67,0.72,0.5,0.0,0.29,0.45,0.0,0.09,0.91,0.67,0.76
tart.csv,0.59,0.0,0.93,0.02,0.52,0.17,0.78,0.02,0.0,0.25,0.77,0.03,0.74,0.22,0.25,1.0,0.11,0.83,0.7,0.64
uface.csv,0.58,0.03,0.9,0.03,0.28,0.05,0.86,0.04,0.05,0.19,0.77,0.09,0.76,0.21,0.28,1.0,0.08,0.85,0.7,0.96
wxlua.csv,0.56,0.04,0.95,0.0,1.0,0.07,0.88,0.03,0.21,0.23,0.81,0.08,0.78,0.14,0.16,0.42,0.09,0.87,0.45,0.72
