,fbmanager.csv,scen-connect.csv,wxlua.csv,officefloor.csv,stuproa-cims.csv,tart.csv,ontopia.csv,jgossipforum.csv,powerfolder.csv,madman.csv,power-architect.csv,hannosset.csv,bzbyte.csv,mediaportal.csv,poormans.csv,fleet-simulator.csv,ninject.csv,jruby.csv,hydrate.csv,uface.csv
bzbyte.csv,98.5,2892.0,0.0,0.0,395.0,663.5,168.0,4464.5,1046.5,645.5,69.5,2819.0,98.5,0.0,99.0,98.5,1177.5,95.5,91.5,98.5
fbmanager.csv,98.5,203.5,96.5,14151.0,293.5,415.0,98.5,3014.0,565.0,367.0,190.0,1832.0,98.5,197.0,385.0,89.5,449.0,97.5,97.5,98.5
fleet-simulator.csv,98.5,794.0,194.0,35774.0,296.0,1468.0,98.5,4268.0,947.0,645.5,99.0,2819.0,98.5,987.5,99.0,98.5,1531.5,99.0,97.5,98.5
hannosset.csv,95.5,927.5,94.5,8409.5,297.0,1763.0,173.0,1473.5,888.0,176.0,84.5,400.0,96.5,1212.0,1531.5,94.5,449.5,98.5,89.5,98.5
hydrate.csv,92.5,833.5,194.0,11766.5,195.0,1103.5,97.5,2012.5,189.0,367.0,190.0,2457.0,98.5,296.0,484.5,91.5,571.5,99.0,91.5,98.5
jgossipforum.csv,92.5,464.0,96.5,9808.0,196.5,697.5,98.5,340.0,570.0,367.0,94.5,1849.5,98.5,296.0,290.5,84.5,97.5,95.5,71.5,79.5
jruby.csv,82.5,2133.5,94.5,14061.5,296.0,1375.5,97.5,4365.5,1143.0,272.5,97.5,221.5,96.5,889.0,470.5,98.5,984.5,98.5,97.5,98.5
madman.csv,92.5,1812.5,84.5,31450.5,845.0,808.5,98.5,1711.0,479.5,184.0,62.5,1541.5,92.5,1251.5,95.5,94.5,892.0,93.5,65.5,97.5
mediaportal.csv,70.5,194.5,94.5,9248.5,93.0,1708.5,89.5,153.5,90.5,184.0,82.5,241.0,82.5,966.5,190.0,91.5,50.5,99.0,97.5,98.5
ninject.csv,95.5,1172.0,194.0,13903.0,481.0,2154.5,96.5,1645.0,380.0,434.0,99.0,1183.5,193.0,2370.5,482.5,96.5,82.5,95.5,97.5,98.5
officefloor.csv,162.0,153.0,27.5,14786.0,95.5,523.0,98.5,608.5,654.5,398.5,87.5,1535.5,95.5,395.0,381.0,89.5,148.0,97.5,86.5,98.5
ontopia.csv,95.5,2685.5,194.0,28887.5,94.5,1926.5,97.5,3117.5,1054.5,362.0,97.5,2512.5,96.5,1824.5,194.0,96.5,734.0,86.5,91.5,82.5
poormans.csv,95.5,123.5,188.0,7110.5,26.5,1439.0,79.5,79.5,90.5,503.0,177.0,234.0,98.5,790.0,190.0,55.5,133.0,97.5,97.5,78.5
power-architect.csv,98.5,2607.5,194.0,46600.5,291.0,1556.5,98.5,2988.5,659.5,552.0,99.0,2819.0,98.5,1861.5,99.0,98.5,763.0,99.0,97.5,98.5
powerfolder.csv,98.5,643.0,94.5,5429.5,296.0,1024.5,98.5,3106.5,189.0,273.5,97.5,2085.5,98.5,389.0,388.0,80.5,1058.5,97.5,65.5,95.5
stuproa-cims.csv,70.5,496.5,26.5,8381.0,193.0,772.5,91.5,440.5,82.5,180.0,213.5,24.5,0.0,494.0,92.5,0.0,909.0,97.5,97.5,98.5
tart.csv,98.5,87.5,96.5,26049.5,197.0,172.0,98.5,2779.5,835.0,362.0,85.5,1970.0,98.5,591.5,99.0,98.5,58.5,99.0,97.5,85.5
uface.csv,98.5,1769.0,194.0,48336.5,296.0,2654.0,98.5,4185.5,569.0,553.0,190.0,2712.5,98.5,692.0,99.0,91.5,1177.5,97.5,97.5,98.5
wxlua.csv,98.5,1080.0,194.0,10714.0,12.5,1495.0,98.5,961.5,188.0,183.0,99.0,2408.0,98.5,491.0,99.0,96.5,1177.5,99.0,89.5,98.5
