,scen-connect.csv,bwapi.csv,ontopia.csv,smartgwt.csv,adobe-source.csv,lite.csv,gisgraphy.csv
adobe-source.csv,0.0,0.21,0.51,0.56,0.86,0.0,0.39
bwapi.csv,0.06,0.98,0.86,0.48,0.3,0.53,0.37
gisgraphy.csv,0.03,0.76,0.64,0.2,0.07,0.41,1.0
lite.csv,0.5,0.13,0.42,0.58,0.3,0.97,0.24
ontopia.csv,0.03,0.87,1.0,0.39,0.31,0.44,0.49
smartgwt.csv,0.06,0.36,0.43,0.97,0.22,0.32,0.49
