,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.78,0.36,0.22,0.29,0.99,0.29,0.61,0.46,0.15,0.33,0.24,0.65
crisscross.csv,0.26,0.14,0.98,0.33,0.04,0.29,0.25,0.16,0.45,0.18,0.33,0.35
gabel.csv,0.0,0.0,0.0,0.11,0.0,0.08,0.05,0.06,1.0,0.0,0.0,0.02
jguard.csv,0.86,0.16,0.24,0.62,0.7,0.26,0.67,0.97,0.09,0.12,0.31,0.58
jitterbit.csv,0.82,0.12,0.37,0.4,0.32,0.98,0.63,0.3,0.14,0.27,0.1,0.68
mycila.csv,0.26,0.14,0.23,0.18,0.26,0.06,0.07,0.11,0.12,0.3,1.0,0.15
nova.csv,0.6,0.87,0.34,0.68,0.58,0.38,0.44,0.29,0.23,0.34,0.25,0.4
ontomorphtab.csv,0.88,0.38,0.29,0.99,0.39,0.35,0.72,0.57,0.21,0.36,0.32,0.78
tmva.csv,0.85,0.29,0.34,0.7,0.46,0.46,0.62,0.49,0.24,0.2,0.28,1.0
vienna-add-in.csv,0.76,0.47,0.25,0.68,0.66,0.32,1.0,0.32,0.18,0.31,0.22,0.59
vrjuggler.csv,0.42,0.12,0.19,0.66,0.8,0.43,0.7,0.49,0.14,0.97,0.32,0.69
wpdev.csv,1.0,0.38,0.34,0.81,0.82,0.42,0.8,0.51,0.15,0.35,0.32,0.85
