,wpdev.csv,nova.csv,crisscross.csv,ontomorphtab.csv,abbot.csv,jitterbit.csv,vienna-add-in.csv,jguard.csv,gabel.csv,vrjuggler.csv,mycila.csv,tmva.csv
abbot.csv,0.98,0.25,0.15,0.5,0.98,0.24,0.68,0.37,0.08,0.22,0.16,0.67
crisscross.csv,1.0,0.12,1.0,1.0,0.33,0.34,0.59,0.38,0.36,0.33,0.38,0.95
gabel.csv,0.0,0.0,0.0,1.0,0.0,0.54,1.0,0.5,1.0,0.0,0.0,0.67
jguard.csv,0.98,0.11,0.15,0.69,0.71,0.21,0.69,1.0,0.05,0.12,0.21,0.69
jitterbit.csv,0.99,0.08,0.25,0.67,0.69,0.99,0.77,0.33,0.08,0.19,0.09,0.8
mycila.csv,0.91,1.0,0.15,0.44,0.78,0.16,0.75,0.29,0.11,0.2,1.0,0.78
nova.csv,1.0,1.0,0.26,0.78,0.75,0.33,0.72,0.5,0.14,0.28,0.18,0.88
ontomorphtab.csv,0.99,0.23,0.17,1.0,0.71,0.24,0.65,0.42,0.11,0.22,0.2,0.72
tmva.csv,1.0,0.38,0.22,0.71,0.64,0.39,0.68,0.46,0.14,0.15,0.21,1.0
vienna-add-in.csv,0.98,0.36,0.15,0.67,0.71,0.24,1.0,0.3,0.1,0.2,0.15,0.76
vrjuggler.csv,1.0,0.25,0.15,0.59,0.72,0.29,0.63,0.34,0.08,1.0,0.19,0.68
wpdev.csv,1.0,0.23,0.2,0.69,0.7,0.27,0.67,0.35,0.08,0.21,0.19,0.73
