,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,1.0,22.0,48.0,1.0,7.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,33.0,5.0
crux-framework.csv,105.0,155.0,411.0,70.0,82.0,116.0,99.0,135.0,168.0,95.0,153.0,342.0,0.0,57.0
etherboot.csv,2.0,19.0,411.0,1.0,0.0,2.0,2.0,1.0,2.0,9.0,0.0,0.0,17.0,2.0
freebios.csv,3.0,4.0,74.0,2.0,0.0,13.0,0.0,0.0,2.0,0.0,0.0,4.0,31.0,4.0
gebr.csv,0.0,32.0,83.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,3.0,60.0,0.0
gnukeda.csv,4.0,23.0,8.0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,0.0,3.0,43.0,1.0
google-gears.csv,3.0,18.0,17.0,0.0,4.0,18.0,1.0,1.0,1.0,0.0,0.0,0.0,37.0,0.0
gstreamer.csv,6.0,4.0,54.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,36.0,1.0
jnode.csv,105.0,155.0,0.0,70.0,82.0,116.0,99.0,135.0,168.0,95.0,1.0,342.0,111.0,57.0
metacosm.csv,1.0,1.0,73.0,2.0,3.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,12.0,0.0
openmeetings.csv,0.0,0.0,30.0,0.0,82.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,111.0,0.0
pgui.csv,1.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,3.0
tradelink.csv,6.0,7.0,34.0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,2.0,4.0,111.0,1.0
wxcrp.csv,0.0,32.0,0.0,3.0,1.0,19.0,1.0,0.0,3.0,5.0,0.0,4.0,44.0,6.0
