,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.66,0.42,0.56,0.61,0.68,0.05,0.73,0.95,0.54,0.54,0.67,0.6,0.55,0.61
crux-framework.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
etherboot.csv,0.58,0.72,1.02,0.68,0.05,0.78,0.87,0.67,0.59,0.76,0.6,0.6,0.49,0.96
freebios.csv,0.71,0.26,0.64,0.75,0.67,0.63,0.02,0.89,0.59,0.58,0.73,0.66,0.61,0.66
gebr.csv,0.88,0.9,0.7,0.68,0.74,0.9,0.98,0.03,0.79,0.77,0.7,0.68,0.91,0.65
gnukeda.csv,0.74,0.58,0.77,0.05,0.66,0.54,0.74,0.49,0.79,0.77,0.6,0.7,0.69,0.75
google-gears.csv,0.66,0.44,0.58,0.57,0.74,0.65,0.9,0.56,0.92,0.67,0.0,0.71,0.78,0.76
gstreamer.csv,0.53,0.44,0.69,0.59,0.67,0.6,0.79,0.55,0.55,0.79,0.63,0.04,0.55,0.65
jnode.csv,1.0,1.0,0.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0
metacosm.csv,0.55,0.33,0.55,0.7,0.77,0.63,0.87,0.76,0.62,0.79,0.62,0.56,0.35,0.04
openmeetings.csv,0.94,0.05,0.7,0.87,1.0,0.76,0.94,0.96,0.91,0.8,0.93,0.93,1.02,0.67
pgui.csv,0.46,0.41,0.66,0.63,0.66,0.72,0.76,0.8,0.09,0.62,0.67,0.71,0.4,0.69
tradelink.csv,0.82,0.96,0.94,0.88,0.82,1.0,0.72,0.96,0.87,0.05,0.88,0.93,1.02,0.93
wxcrp.csv,0.13,0.65,0.7,0.91,0.87,0.68,0.96,0.71,0.76,0.63,0.76,0.87,0.72,0.71
