,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.1,0.0,0.26,0.02,0.04,0.04,0.14,0.12,0.06,0.21,0.01
arsenal-1.csv,0.9,0.23,0.03,0.06,0.0,0.06,0.19,0.12,0.09,0.21,0.4
barracudamvc.csv,0.2,0.9,0.97,1.0,1.0,0.91,0.9,0.75,1.0,0.71,0.86
cascading.csv,0.6,1.0,0.29,0.74,0.48,0.27,0.57,0.62,0.45,0.5,0.68
emisview.csv,0.15,0.03,0.32,0.26,0.04,0.19,0.26,0.62,0.09,0.14,0.08
jitterbit.csv,0.65,1.0,0.52,0.57,0.17,0.2,0.86,0.25,0.24,0.43,0.49
jppf-project.csv,0.75,0.97,0.55,0.62,0.7,0.77,0.71,0.12,0.55,0.36,0.61
mevenide.csv,0.55,0.32,0.06,0.04,0.0,0.14,0.12,0.0,0.09,0.21,0.2
mycila.csv,0.75,0.9,0.42,0.77,0.78,0.48,0.17,0.5,0.64,0.64,0.52
ontopia.csv,0.3,0.42,0.52,0.58,0.83,0.43,0.55,0.62,0.12,0.14,0.07
trackit.csv,0.0,0.0,0.23,0.42,0.43,0.22,0.24,0.0,0.03,0.07,0.0
