,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.83,1.0,0.34,0.78,0.88,0.64,0.91,0.86,0.87,0.92,0.9
arsenal-1.csv,0.95,0.43,0.96,0.91,1.0,0.82,0.92,0.55,0.95,0.96,0.6
barracudamvc.csv,0.31,0.91,0.98,1.0,1.0,0.95,0.91,0.84,1.0,0.72,0.97
cascading.csv,0.77,1.0,0.5,0.75,0.6,0.62,0.7,0.9,0.49,0.64,0.75
emisview.csv,0.8,0.85,0.39,0.44,0.81,0.51,0.94,0.85,0.87,0.92,0.8
jitterbit.csv,0.73,1.0,0.56,0.69,0.75,0.38,0.95,0.52,0.65,0.83,0.64
jppf-project.csv,0.88,0.97,0.91,0.9,0.76,0.9,0.82,0.3,0.69,0.69,0.67
mevenide.csv,0.69,0.67,0.96,1.0,0.98,0.58,1.01,0.83,0.87,0.92,0.34
mycila.csv,0.82,0.92,0.96,0.93,0.86,0.91,0.34,0.6,0.69,0.66,0.89
ontopia.csv,0.86,0.82,0.75,0.68,0.84,0.83,0.62,0.72,0.95,0.24,0.9
trackit.csv,0.97,1.0,0.89,0.81,0.51,0.9,0.93,0.96,1.0,0.7,1.0
