,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.9,0.0,0.68,0.83,0.83,0.79,0.14,0.93,0.88,0.73,0.75
arsenal-1.csv,0.8,0.71,0.5,0.4,0.0,0.52,0.11,0.98,0.67,0.62,0.31
barracudamvc.csv,0.95,0.47,0.39,0.28,0.64,0.23,0.19,0.9,0.77,0.87,0.17
cascading.csv,0.82,0.47,0.59,0.34,0.7,0.38,0.2,0.87,0.86,0.87,0.25
emisview.csv,0.88,0.8,0.63,0.52,0.89,0.51,0.08,0.89,0.84,0.78,0.46
jitterbit.csv,0.84,0.47,0.52,0.32,0.73,0.56,0.14,0.96,0.85,0.79,0.28
jppf-project.csv,0.79,0.46,0.26,0.2,0.64,0.21,0.17,0.99,0.79,0.86,0.28
mevenide.csv,0.85,0.52,0.33,0.0,1.0,0.54,0.0,1.0,0.84,0.73,0.54
mycila.csv,0.83,0.45,0.19,0.21,0.59,0.15,0.5,0.94,0.81,0.88,0.15
ontopia.csv,0.77,0.38,0.38,0.33,0.65,0.2,0.23,0.92,0.64,0.97,0.33
trackit.csv,1.0,0.0,0.3,0.24,0.75,0.18,0.09,1.0,0.0,0.96,0.0
