,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.0,57.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0
arsenal-1.csv,0.0,0.0,1.0,2.0,63.0,1.0,6.0,0.0,1.0,1.0,0.0
barracudamvc.csv,0.0,2.0,6.0,10.0,2.0,5.0,9.0,0.0,0.0,0.0,7.0
cascading.csv,0.0,2.0,4.0,5.0,1.0,6.0,4.0,0.0,0.0,0.0,3.0
emisview.csv,0.0,1.0,0.0,4.0,0.0,0.0,8.0,0.0,2.0,0.0,3.0
jitterbit.csv,0.0,2.0,2.0,7.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0
jppf-project.csv,0.0,2.0,10.0,12.0,1.0,5.0,9.0,0.0,0.0,0.0,0.0
mevenide.csv,0.0,0.0,2.0,75.0,0.0,1.0,51.0,0.0,2.0,0.0,3.0
mycila.csv,0.0,2.0,12.0,8.0,2.0,20.0,1.0,0.0,0.0,0.0,14.0
ontopia.csv,0.0,1.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
trackit.csv,0.0,57.0,6.0,7.0,0.0,0.0,7.0,0.0,149.0,0.0,116.0
