,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.2,0.0,0.76,0.26,0.15,0.41,0.12,0.18,0.16,0.13,0.12
arsenal-1.csv,0.32,0.65,0.06,0.11,0.0,0.21,0.12,0.52,0.06,0.09,0.56
barracudamvc.csv,0.77,0.35,0.13,0.0,0.0,0.3,0.35,0.48,0.0,0.63,0.35
cascading.csv,0.49,0.0,0.61,0.59,0.6,0.48,0.56,0.36,0.75,0.58,0.56
emisview.csv,0.25,0.18,0.75,0.67,0.24,0.57,0.12,0.41,0.17,0.11,0.25
jitterbit.csv,0.56,0.0,0.69,0.56,0.31,0.69,0.36,0.57,0.43,0.32,0.57
jppf-project.csv,0.43,0.13,0.29,0.36,0.54,0.42,0.49,0.76,0.55,0.44,0.62
mevenide.csv,0.55,0.45,0.06,0.0,0.02,0.49,0.0,0.2,0.17,0.13,0.73
mycila.csv,0.51,0.34,0.17,0.39,0.46,0.26,0.72,0.63,0.61,0.68,0.31
ontopia.csv,0.22,0.33,0.46,0.59,0.47,0.32,0.63,0.57,0.07,0.81,0.12
trackit.csv,0.04,0.0,0.17,0.33,0.69,0.14,0.12,0.05,0.0,0.35,0.0
