,paintown.csv,triplea.csv,fbmanager.csv,sqlpower-library.csv,freenet.csv,onotoa.csv,botsnscouts.csv,google-caja.csv,myfaces.csv,k3b.csv,dspace-gsoc.csv,itext.csv,powerfolder.csv,smartgwt.csv,fido.csv,megameknet.csv,geogebra.csv,duplicati.csv
botsnscouts.csv,0.56,0.53,0.71,0.83,0.87,0.8,0.7,0.94,0.73,0.53,0.64,0.65,0.8,0.62,1.0,0.7,0.69,0.5
dspace-gsoc.csv,0.68,0.81,0.56,0.54,0.84,0.86,0.81,0.81,0.83,0.57,0.78,0.65,0.4,0.38,1.0,0.72,0.8,0.6
fbmanager.csv,0.4,0.28,0.68,0.57,0.12,0.19,0.41,0.38,0.35,0.21,0.42,0.5,0.8,0.64,0.25,0.45,0.06,0.71
fido.csv,0.0,0.12,0.0,0.11,0.06,0.14,0.04,0.4,0.0,0.03,0.0,0.0,0.2,0.03,1.0,0.0,0.01,0.1
freenet.csv,0.41,0.84,0.68,0.78,0.75,0.51,0.96,0.88,0.96,0.48,0.72,1.0,1.0,0.93,1.0,0.78,0.91,0.83
geogebra.csv,0.47,0.41,0.62,0.63,0.71,0.35,0.52,0.29,0.58,0.47,0.58,0.79,0.4,0.36,0.25,0.51,0.64,0.52
google-caja.csv,0.6,0.69,0.71,0.67,0.8,0.89,0.93,0.79,0.92,0.59,0.75,0.65,1.0,0.98,1.0,0.78,0.93,0.91
itext.csv,0.69,0.97,0.85,0.78,0.87,1.0,0.81,1.0,0.94,0.62,0.94,0.76,1.0,1.0,1.0,0.93,0.94,0.9
k3b.csv,0.75,0.66,1.0,0.93,0.79,0.65,0.52,0.85,0.71,0.64,0.94,0.79,0.8,0.98,0.25,0.91,0.91,0.83
megameknet.csv,0.65,0.81,0.85,0.63,0.78,0.31,0.67,0.92,0.79,0.72,0.75,0.85,0.8,0.74,0.25,0.7,0.82,0.9
myfaces.csv,0.62,0.53,0.56,0.83,0.53,0.54,0.56,0.28,0.62,0.45,0.5,0.47,1.0,0.74,0.5,0.55,0.6,0.45
onotoa.csv,0.49,0.28,0.29,0.61,0.3,0.73,0.19,0.14,0.5,0.48,0.53,0.15,0.0,0.51,0.5,0.3,0.09,0.5
paintown.csv,0.71,0.69,0.94,0.96,0.75,0.69,0.81,0.88,0.9,0.57,0.81,0.53,1.0,0.93,0.75,0.97,0.93,0.5
powerfolder.csv,0.44,0.16,0.59,0.54,0.26,0.45,0.3,0.14,0.54,0.52,0.31,0.12,1.0,0.36,0.5,0.58,0.39,0.14
smartgwt.csv,0.66,0.53,0.74,0.39,0.35,0.49,0.11,0.83,0.58,0.57,0.67,0.15,1.0,0.74,1.0,0.59,0.38,0.64
sqlpower-library.csv,1.0,0.81,0.94,0.65,0.88,0.5,1.0,0.79,0.92,0.95,0.61,0.97,0.8,0.35,0.5,0.8,0.77,0.98
triplea.csv,0.76,0.66,0.71,0.91,0.99,0.76,1.0,0.9,0.98,0.83,0.81,0.97,1.0,0.76,0.75,0.9,0.98,0.97
