,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.7,0.09,0.35,0.2,0.39,0.14,0.81,0.26,0.29,0.36,0.05,0.48,0.3,0.74,0.16
bscwweasel.csv,0.67,0.0,0.38,0.3,0.5,0.25,0.87,0.28,0.28,0.38,0.07,0.33,0.28,0.86,0.14
capcode.csv,0.4,0.11,0.25,0.14,0.39,0.3,0.7,0.48,0.46,0.44,0.03,0.39,0.26,0.83,0.1
cme.csv,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.83
emite.csv,0.59,0.08,0.41,0.15,0.42,0.1,0.76,0.31,0.36,0.27,0.11,0.59,0.12,0.92,0.15
fluent-nhibernate.csv,1.0,0.18,0.5,0.38,0.52,0.3,0.79,0.28,0.38,0.38,0.11,0.55,0.33,0.8,0.0
lamp.csv,0.48,0.22,0.42,0.15,0.32,0.14,0.74,0.39,0.29,0.44,0.05,0.38,0.18,0.67,0.14
mecat.csv,0.0,0.33,1.0,0.0,0.6,0.15,0.0,0.41,0.0,0.73,0.27,0.0,0.31,0.0,0.25
nodal.csv,1.0,0.17,0.47,0.21,0.27,0.29,1.0,0.5,0.5,0.44,0.05,0.71,0.22,0.87,0.07
pydev.csv,0.5,0.17,0.47,0.15,0.53,0.14,0.76,0.26,0.3,0.56,0.07,0.53,0.16,0.68,0.14
retromenu.csv,0.62,0.21,0.37,0.18,0.67,0.19,0.79,0.18,0.46,0.35,0.0,0.69,0.12,1.0,0.0
smbopensoft.csv,0.79,0.1,0.24,0.14,0.36,0.12,0.77,0.24,0.48,0.27,0.03,0.46,0.17,0.89,0.12
stuproa-cims.csv,0.0,0.43,0.34,0.22,0.42,0.21,0.5,0.57,0.27,0.37,0.06,0.5,0.24,0.77,0.04
thout.csv,0.48,0.09,0.46,0.29,0.38,0.16,0.75,0.26,0.27,0.36,0.04,0.44,0.15,0.7,0.12
uface.csv,0.49,0.1,0.24,0.17,0.37,0.16,0.73,0.28,0.26,0.36,0.06,0.51,0.12,0.97,0.1
