,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.29,0.58,0.37,0.25,0.1,0.0,0.45,0.45,0.08,0.34,0.43,0.48,0.19
bdbbasic.csv,0.41,0.22,0.53,0.25,0.46,0.38,0.22,0.13,0.0,0.47,0.39,0.39,0.27
echongl.csv,0.6,0.31,0.43,0.53,0.66,0.79,0.29,0.16,0.57,0.0,0.25,0.26,0.54
etherboot.csv,0.65,0.9,0.27,0.06,0.0,0.76,0.71,0.82,0.65,0.74,0.61,0.56,0.73
freebios.csv,0.48,0.06,0.31,0.59,0.36,0.21,0.0,0.68,0.45,0.16,0.31,0.53,0.43
gebr.csv,0.87,0.96,0.6,0.53,0.67,0.84,0.82,0.0,0.73,0.89,0.61,0.81,0.51
gnukeda.csv,0.51,0.68,0.51,0.03,0.66,0.55,0.39,0.29,0.47,0.68,0.36,0.56,0.43
google-gears.csv,0.65,0.75,0.47,0.41,0.66,0.9,0.78,0.42,0.63,0.76,0.89,0.58,0.0
jnode.csv,0.04,0.28,0.0,0.03,0.05,0.0,0.02,0.08,0.04,0.03,0.12,0.08,0.05
openmeetings.csv,0.13,0.01,0.35,0.03,0.18,0.39,0.24,0.08,0.02,0.34,0.33,0.14,0.05
pgui.csv,0.16,0.13,0.14,0.16,0.28,0.2,0.06,0.45,0.04,0.55,0.0,0.19,0.41
tradelink.csv,0.17,0.02,0.05,0.16,0.28,0.84,0.08,0.08,0.16,0.39,0.47,0.0,0.32
wxcrp.csv,0.0,0.81,0.72,0.0,0.23,0.15,0.02,0.11,0.04,0.11,0.24,0.12,0.14
