,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.8,0.62,0.67,0.71,0.73,0.0,0.84,0.49,0.74,0.9,0.59,0.64,0.73
bdbbasic.csv,0.52,0.29,0.53,0.52,0.59,0.5,0.71,0.6,0.05,0.64,0.48,0.57,0.59
echongl.csv,0.75,0.92,0.76,0.66,0.68,0.91,0.64,0.87,0.59,0.01,0.78,0.49,0.69
etherboot.csv,0.7,1.0,0.85,0.85,0.14,0.92,0.83,0.91,0.84,0.87,0.72,0.88,0.81
freebios.csv,0.88,0.82,0.81,0.87,0.65,0.84,0.04,0.93,0.82,0.77,0.62,0.71,0.86
gebr.csv,0.88,0.96,0.82,0.66,0.71,0.84,0.89,0.13,0.74,0.9,0.62,0.82,0.57
gnukeda.csv,0.62,0.68,0.63,0.03,0.77,0.61,0.71,0.5,0.54,0.77,0.5,0.67,0.61
google-gears.csv,0.67,0.76,0.57,0.61,0.68,0.92,1.05,0.52,0.64,0.76,0.89,0.66,0.01
jnode.csv,0.97,0.91,0.12,0.97,1.0,1.0,0.94,0.92,1.0,0.98,0.94,0.95,0.97
openmeetings.csv,0.66,0.01,0.72,0.77,0.75,0.47,0.89,0.73,0.79,0.79,0.59,0.8,0.81
pgui.csv,0.7,0.56,1.01,0.68,0.86,0.78,0.84,0.79,0.63,0.9,0.06,0.76,0.69
tradelink.csv,0.73,0.73,1.0,0.63,0.74,0.86,0.88,0.65,0.6,0.63,0.59,0.16,0.71
wxcrp.csv,0.0,0.82,0.75,0.82,0.85,0.61,0.94,0.83,0.79,0.74,0.54,0.75,0.82
