,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.26,0.77,0.44,0.33,0.27,1.0,0.29,0.81,0.26,0.17,0.6,0.58,0.3
bdbbasic.csv,0.68,0.82,0.94,0.54,0.64,0.68,0.33,0.42,0.95,0.57,0.72,0.58,0.48
echongl.csv,0.55,0.14,0.38,0.62,0.82,0.54,0.43,0.14,0.84,0.99,0.26,0.58,0.57
etherboot.csv,0.74,0.55,0.19,0.15,0.86,0.49,0.57,0.59,0.47,0.54,0.62,0.32,0.66
freebios.csv,0.26,0.18,0.25,0.36,0.45,0.19,0.96,0.37,0.32,0.24,0.47,0.53,0.26
gebr.csv,0.84,0.95,0.44,0.62,0.77,0.95,0.67,0.87,0.89,0.91,0.85,0.84,0.75
gnukeda.csv,0.65,0.95,0.62,1.0,0.59,0.73,0.41,0.59,0.74,0.66,0.66,0.63,0.56
google-gears.csv,0.87,0.86,0.69,0.54,0.82,0.81,0.31,0.69,0.89,0.98,0.94,0.68,0.99
jnode.csv,0.03,0.14,0.88,0.03,0.0,0.0,0.06,0.08,0.0,0.02,0.06,0.05,0.03
openmeetings.csv,0.35,1.0,0.38,0.23,0.27,0.73,0.14,0.28,0.21,0.28,0.51,0.21,0.2
pgui.csv,0.32,0.45,0.0,0.33,0.18,0.24,0.16,0.35,0.37,0.29,0.94,0.26,0.44
tradelink.csv,0.29,0.27,0.0,0.38,0.32,0.78,0.12,0.36,0.42,0.51,0.64,0.84,0.37
wxcrp.csv,1.0,0.86,0.81,0.18,0.18,0.41,0.06,0.17,0.21,0.26,0.51,0.26,0.19
