,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.63,0.42,0.51,0.76,0.92,0.68,0.62,0.45,0.89,0.87,0.51,0.52,0.81
bdbbasic.csv,0.46,0.52,0.4,0.41,0.43,0.36,0.63,0.52,0.67,0.38,0.4,0.46,0.44
echongl.csv,0.53,0.71,0.69,0.51,0.53,0.61,0.81,0.95,0.45,0.36,0.88,0.71,0.6
etherboot.csv,0.53,0.45,0.76,0.88,0.89,0.62,0.53,0.65,0.61,0.46,0.54,0.49,0.58
freebios.csv,0.75,0.92,0.78,0.7,0.72,0.79,0.64,0.9,0.82,0.87,0.67,0.53,0.93
gebr.csv,0.42,0.38,0.46,0.46,0.43,0.45,0.37,0.44,0.4,0.31,0.45,0.35,0.47
gnukeda.csv,0.55,0.36,0.49,0.57,0.45,0.37,0.57,0.43,0.46,0.38,0.47,0.42,0.49
google-gears.csv,0.47,0.48,0.5,0.44,0.47,0.55,0.49,0.42,0.42,0.32,0.43,0.43,0.49
jnode.csv,0.75,0.8,0.93,0.5,0.67,0.0,0.75,0.91,0.5,0.67,0.94,0.86,0.83
openmeetings.csv,0.71,0.91,0.79,0.9,0.71,0.5,0.95,0.73,0.8,0.66,0.53,0.93,0.84
pgui.csv,0.82,0.93,0.98,0.78,0.86,0.6,0.91,0.8,0.89,0.56,0.73,0.75,0.75
tradelink.csv,0.82,0.89,0.95,0.85,0.88,0.52,0.9,0.58,0.75,0.51,0.54,0.94,0.76
wxcrp.csv,0.65,0.46,0.53,0.86,0.67,0.48,0.75,0.76,0.83,0.7,0.49,0.93,0.81
