,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,bdbbasic.csv,echongl.csv,pgui.csv,tradelink.csv,google-gears.csv
aufs.csv,0.26,0.29,0.08,0.43,0.35,1.0,0.33,0.81,0.36,0.26,0.44,0.33,0.44
bdbbasic.csv,0.51,0.51,0.12,0.62,0.44,0.54,0.42,0.57,0.97,0.65,0.53,0.37,0.61
echongl.csv,0.37,0.09,0.06,0.6,0.45,0.33,0.49,0.24,0.51,0.99,0.27,0.44,0.66
etherboot.csv,0.45,0.16,0.05,0.26,0.93,0.31,0.5,0.62,0.3,0.59,0.39,0.18,0.7
freebios.csv,0.21,0.24,0.06,0.39,0.37,0.23,0.98,0.45,0.26,0.37,0.41,0.29,0.37
gebr.csv,0.43,0.24,0.05,0.6,0.42,0.5,0.53,0.93,0.47,0.81,0.5,0.33,0.79
gnukeda.csv,0.45,0.31,0.09,0.99,0.35,0.5,0.45,0.69,0.5,0.68,0.51,0.32,0.66
google-gears.csv,0.5,0.27,0.1,0.58,0.45,0.43,0.29,0.75,0.51,0.86,0.44,0.34,1.0
jnode.csv,0.06,0.1,0.93,0.05,0.0,0.0,0.11,0.15,0.0,0.04,0.09,0.08,0.07
openmeetings.csv,0.42,0.98,0.07,0.37,0.31,0.57,0.21,0.42,0.33,0.4,0.43,0.24,0.32
pgui.csv,0.38,0.41,0.0,0.46,0.19,0.29,0.27,0.46,0.5,0.39,0.97,0.26,0.57
tradelink.csv,0.34,0.39,0.0,0.51,0.3,0.44,0.2,0.51,0.46,0.61,0.45,0.91,0.5
wxcrp.csv,1.0,0.26,0.08,0.3,0.2,0.47,0.11,0.29,0.32,0.4,0.48,0.3,0.31
