,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,0.0,0.83,1.0,0.88,0.8,0.74,0.5,0.83,0.82,1.0,0.99,0.93,0.67,0.99,0.89,1.0
calcubetimer.csv,0.95,0.5,0.37,0.57,0.65,0.65,0.36,0.75,0.48,0.0,0.87,0.58,0.65,0.6,0.63,0.79
chaosrts.csv,0.9,0.83,1.0,1.0,0.65,0.71,0.36,0.98,1.0,1.0,0.69,1.0,0.98,0.99,0.81,0.0
dxengine.csv,0.1,0.0,0.04,0.0,0.3,0.35,0.15,0.26,0.15,0.25,0.26,0.17,0.16,0.18,0.33,0.32
freedom-erp.csv,0.1,0.0,0.0,0.0,0.05,0.01,0.0,0.09,0.0,0.0,0.04,0.02,0.04,0.01,0.0,0.16
joustsim.csv,0.4,0.67,0.11,0.51,0.5,0.17,0.8,0.38,0.72,0.0,0.23,0.0,0.55,0.64,0.52,0.42
jsidplay2.csv,0.5,0.67,0.63,0.57,0.05,0.64,0.41,0.8,0.18,0.5,0.87,0.82,0.92,0.43,0.7,0.79
madman.csv,0.2,0.0,0.07,0.06,0.0,0.1,0.03,0.05,0.03,0.0,0.03,0.05,0.0,0.03,0.11,0.05
mclient-mume.csv,0.3,0.33,0.0,0.33,0.1,0.25,0.17,0.15,0.22,0.0,0.07,0.22,0.27,0.16,0.44,0.26
primefaces.csv,0.6,1.0,0.89,0.92,0.5,0.49,0.34,0.42,0.98,0.5,0.13,0.53,0.78,0.76,0.0,0.26
reaper3d.csv,0.15,0.0,0.0,0.0,0.5,0.54,0.77,0.03,0.0,0.5,0.44,0.57,0.0,0.0,0.37,0.32
sblim.csv,0.1,0.0,0.19,0.06,0.0,0.01,0.4,0.08,0.02,0.0,0.03,0.0,0.02,0.01,0.15,0.0
sevenupdate.csv,0.35,0.0,0.7,0.82,1.0,0.98,0.98,0.98,1.0,0.0,0.93,0.33,0.78,0.97,0.44,0.0
springside.csv,0.3,0.0,0.33,0.51,0.3,0.33,0.01,0.54,0.65,0.5,0.61,0.6,0.57,0.66,0.81,0.74
swtfox.csv,0.15,0.5,0.19,0.25,0.65,0.52,0.89,0.0,0.5,0.5,0.34,0.5,0.14,0.46,0.37,0.47
tmva.csv,0.9,0.5,0.74,0.71,0.3,0.77,0.51,0.63,0.03,0.75,0.99,0.95,0.65,0.69,0.74,0.95
