,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,1.0,0.89,0.67,0.47,0.64,0.21,0.6,0.55,0.77,0.74,0.73,0.28,0.33,0.14,0.71,0.94
calcubetimer.csv,0.87,0.65,0.67,0.53,0.84,0.12,0.56,0.44,0.68,1.0,0.76,0.39,0.33,0.19,0.7,0.83
chaosrts.csv,0.83,0.89,0.69,0.51,0.76,0.31,0.62,0.56,0.85,0.83,0.66,0.27,0.25,0.14,0.72,0.99
dxengine.csv,0.41,0.54,0.28,0.96,0.43,0.5,0.15,0.48,0.22,0.44,0.53,0.32,0.4,0.21,0.28,0.47
freedom-erp.csv,0.02,0.04,0.0,0.0,0.46,0.0,0.0,0.04,0.0,0.33,0.98,0.0,0.0,0.0,0.0,0.2
joustsim.csv,0.78,0.77,0.68,0.53,0.56,0.2,0.41,0.47,0.6,0.3,0.21,1.0,0.33,0.13,0.54,0.49
jsidplay2.csv,0.68,0.49,0.43,0.42,0.99,0.25,0.48,0.43,0.74,0.85,0.76,0.26,0.2,0.18,0.56,0.77
madman.csv,0.23,0.04,0.32,0.12,0.03,0.33,0.04,0.09,0.11,0.1,0.0,0.25,0.93,0.0,0.09,0.16
mclient-mume.csv,0.61,0.5,0.98,0.4,0.23,0.35,0.4,0.31,0.48,0.4,0.04,0.34,0.38,0.0,0.42,0.39
primefaces.csv,0.61,0.67,0.71,0.51,0.4,0.15,0.52,0.51,0.78,0.45,0.0,0.13,0.26,0.13,1.0,0.64
reaper3d.csv,0.27,0.0,0.0,0.0,0.48,0.37,0.36,0.13,0.01,0.39,0.34,0.04,0.0,0.93,0.31,0.12
sblim.csv,0.11,0.04,0.06,0.0,0.07,0.93,0.02,0.2,0.26,0.1,0.0,0.0,0.2,0.0,0.13,0.11
sevenupdate.csv,0.46,1.0,0.69,0.52,0.82,0.35,0.48,0.56,0.85,0.38,0.68,0.41,0.26,0.14,0.45,0.26
springside.csv,0.68,0.6,0.72,0.59,0.7,0.25,0.97,0.51,0.7,0.64,0.76,0.26,0.29,0.15,0.68,0.72
swtfox.csv,0.38,0.67,0.25,0.3,0.27,0.41,0.4,0.97,0.47,0.24,0.06,0.05,0.0,0.07,0.51,0.65
tmva.csv,0.89,0.63,0.46,0.36,0.69,0.19,0.55,0.33,0.98,0.92,0.74,0.26,0.33,0.14,0.67,0.93
