,barracudamvc.csv,sevenupdate.csv,mclient-mume.csv,dxengine.csv,jsidplay2.csv,sblim.csv,springside.csv,swtfox.csv,tmva.csv,calcubetimer.csv,freedom-erp.csv,joustsim.csv,madman.csv,reaper3d.csv,primefaces.csv,chaosrts.csv
barracudamvc.csv,1.0,0.88,0.97,0.81,0.59,0.45,0.86,0.9,0.81,0.62,0.98,1.0,1.0,1.0,0.88,1.0
calcubetimer.csv,0.9,0.51,0.67,0.74,0.88,0.23,0.67,0.62,0.6,1.0,1.0,1.0,1.0,0.88,0.78,0.78
chaosrts.csv,0.83,0.88,1.0,1.0,0.75,0.68,0.78,1.0,1.0,0.77,0.73,1.0,1.0,1.0,0.88,0.98
dxengine.csv,0.27,0.37,0.17,0.93,0.31,0.77,0.1,0.45,0.13,0.29,0.42,0.36,0.5,0.38,0.2,0.32
freedom-erp.csv,0.01,0.02,0.0,0.0,0.31,0.0,0.0,0.02,0.0,0.2,0.99,0.0,0.0,0.0,0.0,0.12
joustsim.csv,0.69,0.67,0.57,0.7,0.46,0.18,0.65,0.5,0.54,0.18,0.13,1.0,0.88,0.62,0.5,0.35
jsidplay2.csv,0.56,0.35,0.43,0.56,1.0,0.5,0.57,0.62,0.62,0.77,0.99,0.82,0.75,0.62,0.57,0.7
madman.csv,0.13,0.02,0.2,0.07,0.02,0.27,0.02,0.05,0.06,0.05,0.0,0.18,0.88,0.0,0.05,0.09
mclient-mume.csv,0.47,0.35,0.97,0.41,0.14,0.41,0.33,0.22,0.34,0.25,0.02,0.45,0.62,0.0,0.35,0.25
primefaces.csv,0.49,0.57,1.0,0.93,0.29,0.23,0.59,0.57,0.86,0.3,0.0,0.27,0.88,0.75,1.0,0.48
reaper3d.csv,0.16,0.0,0.0,0.0,0.37,0.68,0.55,0.08,0.01,0.25,0.27,0.09,0.0,0.88,0.22,0.06
sblim.csv,0.06,0.02,0.03,0.0,0.03,0.91,0.02,0.12,0.15,0.05,0.0,0.0,0.12,0.0,0.08,0.06
sevenupdate.csv,0.31,1.0,0.87,0.89,0.93,1.0,0.92,1.0,1.0,0.23,0.86,0.73,0.88,1.0,0.38,0.15
springside.csv,0.54,0.43,0.73,0.81,0.59,0.32,0.96,0.65,0.67,0.48,0.89,0.64,0.75,0.75,0.8,0.62
swtfox.csv,0.24,0.53,0.17,0.26,0.19,0.77,0.69,0.95,0.37,0.14,0.04,0.09,0.0,0.25,0.42,0.51
tmva.csv,0.93,0.49,0.5,0.52,0.58,0.41,0.76,0.4,0.97,0.89,1.0,0.91,1.0,0.75,0.75,0.99
