,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.17,0.2,0.62,0.34,0.25,0.08,0.52,0.16,0.5,0.36,0.49,0.94,0.03,0.5,0.23
firebird.csv,0.42,0.67,0.49,0.97,0.69,0.48,0.66,0.8,0.56,0.54,0.47,0.44,0.38,0.8,0.64
flylegacy.csv,0.75,0.4,1.0,0.8,0.69,0.9,0.72,0.67,0.94,0.46,0.53,0.19,0.4,0.9,0.68
gzigzag.csv,0.25,0.23,0.33,0.17,0.2,0.56,0.83,0.24,0.5,0.46,0.41,0.28,0.22,0.5,0.32
hydrogen.csv,0.33,0.43,0.52,0.49,0.16,0.22,0.34,0.38,0.88,0.29,0.24,0.14,0.13,0.3,0.64
mcore3d.csv,0.67,0.7,0.73,0.56,0.99,0.76,0.69,0.76,0.75,0.54,0.54,0.61,0.52,0.7,0.55
nabu-library.csv,0.5,0.77,0.68,0.72,0.75,0.75,0.83,0.67,1.0,0.71,0.73,0.92,0.99,0.6,0.77
ogrehg.csv,0.75,0.7,0.68,0.6,0.55,0.75,0.76,0.64,0.44,0.79,0.93,0.39,0.52,0.8,0.45
qgo.csv,0.5,1.0,0.54,0.58,0.33,0.16,0.45,0.51,0.12,0.29,0.31,0.56,0.17,0.4,0.41
qtractor.csv,0.33,0.6,0.59,0.42,0.59,0.57,0.45,0.71,0.81,1.0,0.65,0.39,0.31,0.8,0.73
rhex.csv,0.92,0.63,0.41,0.52,0.17,0.4,0.41,0.38,0.19,0.36,0.3,0.08,0.2,0.3,0.36
rocrail.csv,0.33,0.23,0.29,0.33,0.18,0.19,0.31,0.31,0.56,0.32,0.23,0.0,0.11,0.2,0.95
webdriver.csv,0.25,0.57,0.33,0.44,0.58,0.73,0.55,0.98,0.75,0.36,0.63,0.25,0.23,0.9,0.55
xined.csv,0.08,0.77,0.21,0.26,0.14,0.19,0.59,0.67,0.38,0.32,0.32,0.36,0.66,0.8,0.14
yield.csv,0.83,0.9,0.95,0.76,0.73,0.95,0.83,0.89,0.69,0.71,0.71,0.86,0.59,0.9,0.91
