,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.69,0.91,0.42,0.62,0.73,0.8,0.48,0.94,0.67,0.67,0.51,0.41,0.67,0.69,0.88
firebird.csv,0.67,0.52,0.49,0.49,0.47,0.58,0.44,0.43,0.53,0.59,0.63,0.43,0.63,0.41,0.46
flylegacy.csv,0.52,0.55,0.38,0.41,0.45,0.45,0.44,0.48,0.59,0.52,0.63,0.75,0.69,0.42,0.49
gzigzag.csv,0.76,0.92,0.67,0.98,0.93,0.53,0.92,0.84,0.61,0.78,0.74,0.64,0.97,0.47,0.72
hydrogen.csv,0.91,0.57,0.4,0.49,0.83,0.86,0.66,0.79,0.86,0.64,0.68,0.88,0.71,0.6,0.46
mcore3d.csv,0.55,0.38,0.41,0.45,0.46,0.48,0.42,0.37,0.53,0.45,0.49,0.34,0.67,0.44,0.56
nabu-library.csv,0.48,0.41,0.4,0.42,0.44,0.44,0.4,0.39,0.49,0.48,0.45,0.3,0.59,0.4,0.45
ogrehg.csv,0.6,0.42,0.44,0.48,0.53,0.54,0.51,0.59,0.66,0.5,0.66,0.55,0.75,0.53,0.56
qgo.csv,0.52,0.43,0.37,0.4,0.6,0.9,0.53,0.5,0.89,0.7,0.56,0.46,0.87,0.43,0.67
qtractor.csv,0.67,0.52,0.38,0.59,0.52,0.56,0.61,0.44,0.61,0.5,0.56,0.56,0.85,0.45,0.46
rhex.csv,0.91,0.38,0.61,0.49,0.93,0.69,0.68,0.74,0.89,0.64,0.83,0.67,0.96,0.7,0.93
rocrail.csv,0.92,0.83,0.74,0.6,0.85,0.93,0.79,0.64,0.57,0.64,0.78,0.0,0.91,0.86,0.64
webdriver.csv,0.83,0.55,0.76,0.61,0.57,0.56,0.66,0.52,0.66,0.76,0.68,0.6,0.82,0.39,0.64
xined.csv,0.88,0.42,0.87,0.91,0.96,0.95,0.6,0.52,0.88,0.79,0.92,0.8,0.72,0.89,0.67
yield.csv,0.43,0.34,0.33,0.33,0.36,0.52,0.37,0.34,0.48,0.36,0.39,0.3,0.45,0.36,0.4
