,rhex.csv,qgo.csv,flylegacy.csv,firebird.csv,mcore3d.csv,yield.csv,gzigzag.csv,webdriver.csv,hydrogen.csv,qtractor.csv,ogrehg.csv,dspace-gsoc.csv,nabu-library.csv,xined.csv,rocrail.csv
dspace-gsoc.csv,0.08,0.55,0.74,0.61,0.73,1.0,0.25,0.41,0.17,0.67,0.43,1.0,1.0,0.31,0.29
firebird.csv,0.19,0.61,0.72,0.98,0.71,0.53,0.29,0.62,0.14,0.52,0.4,0.7,0.32,0.21,0.36
flylegacy.csv,0.15,0.55,0.98,0.55,0.72,0.57,0.26,0.68,0.17,0.45,0.51,0.58,0.36,0.24,0.29
gzigzag.csv,0.12,0.54,0.78,0.54,0.8,0.71,1.0,0.58,0.35,0.57,0.58,0.71,0.73,0.26,0.22
hydrogen.csv,0.36,0.93,0.82,0.53,0.79,0.39,0.29,0.71,1.0,0.57,0.56,0.62,0.54,0.3,0.5
mcore3d.csv,0.18,0.57,0.73,0.55,0.99,0.59,0.24,0.49,0.3,0.52,0.44,0.63,0.71,0.18,0.28
nabu-library.csv,0.09,0.47,0.74,0.56,0.69,0.49,0.29,0.42,0.17,0.61,0.41,0.66,0.99,0.13,0.23
ogrehg.csv,0.17,0.68,0.75,0.48,0.74,0.59,0.26,0.63,0.16,0.69,0.94,0.7,0.43,0.27,0.15
qgo.csv,0.18,1.0,0.74,0.6,0.8,1.0,0.29,0.64,0.22,0.8,0.43,0.77,0.74,0.17,0.43
qtractor.csv,0.19,0.72,0.79,0.67,0.77,0.72,0.34,0.67,0.3,1.0,0.46,0.78,0.34,0.28,0.46
rhex.csv,1.0,0.66,0.84,0.54,0.75,0.64,0.23,0.74,0.33,0.45,0.76,1.0,0.87,0.3,0.53
rocrail.csv,0.33,0.58,0.95,0.69,0.81,0.86,0.38,0.64,0.43,0.82,0.57,0.0,0.5,0.29,0.95
webdriver.csv,0.12,0.52,0.84,0.47,0.74,0.59,0.34,1.0,0.16,0.59,0.45,0.6,0.26,0.25,0.36
xined.csv,0.12,0.43,0.87,0.65,0.71,0.6,0.23,0.43,0.23,0.64,0.57,0.65,0.45,0.89,1.0
yield.csv,0.16,0.61,0.77,0.56,0.77,0.98,0.26,0.51,0.22,0.61,0.43,0.67,0.59,0.23,0.27
