,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.48,0.97,0.44,0.46,0.48,0.45,0.47,0.59,0.42,0.97,0.49,0.51,0.44,0.43
awemud.csv,0.44,0.72,0.67,0.47,0.46,0.5,0.52,0.6,0.4,0.66,0.53,0.53,0.5,0.43
buddata-ebxml-registry.csv,0.41,0.55,0.38,0.4,0.37,0.4,0.41,0.46,0.33,0.4,0.41,0.33,0.34,0.42
cornerstone.csv,0.6,0.57,0.57,0.5,0.54,0.5,0.45,0.62,0.45,0.4,0.48,0.44,0.52,0.39
firebreath.csv,0.48,0.56,0.93,0.51,0.52,0.67,0.63,0.68,0.39,0.66,0.61,0.44,0.62,0.5
lsb.csv,0.42,0.61,0.49,0.52,0.39,0.47,0.56,0.61,0.35,0.44,0.57,0.52,0.46,0.38
maya-work-in-progress.csv,0.36,0.67,0.57,0.42,0.41,0.59,0.41,0.52,0.39,0.41,0.44,0.44,0.43,0.38
mia.csv,0.86,0.86,0.0,0.78,0.9,0.92,0.88,0.93,0.46,0.94,0.75,0.52,0.57,0.63
open-beos.csv,0.41,0.97,0.64,0.52,0.44,0.58,0.6,0.67,0.4,0.45,0.45,0.42,0.48,0.4
qgis.csv,0.39,0.74,0.57,0.55,0.48,0.48,0.54,0.47,0.38,0.45,0.5,0.42,0.55,0.48
rocrail.csv,0.76,0.0,0.0,0.91,0.88,0.96,0.94,0.0,0.88,0.95,0.86,0.67,0.75,0.68
rtb-team.csv,0.45,0.72,0.64,0.74,0.44,0.65,0.67,0.73,0.61,0.43,0.56,0.94,0.57,0.39
tradelink.csv,0.5,0.95,0.67,0.57,0.55,0.98,0.9,0.83,0.88,0.95,0.64,0.94,0.8,0.41
upp-mirror.csv,0.83,0.58,0.88,0.81,0.46,0.66,0.63,0.94,0.93,0.63,0.48,0.54,0.91,0.36
