,awemud.csv,lsb.csv,rtb-team.csv,qgis.csv,upp-mirror.csv,open-beos.csv,firebreath.csv,maya-work-in-progress.csv,cornerstone.csv,mia.csv,amygdala.csv,tradelink.csv,buddata-ebxml-registry.csv,rocrail.csv
amygdala.csv,0.73,0.86,0.63,0.65,0.74,0.72,0.69,0.45,0.81,0.91,0.03,0.67,0.91,0.69
awemud.csv,0.0,0.9,0.72,0.61,0.57,0.61,0.46,0.58,0.68,0.71,0.63,0.61,0.58,0.43
buddata-ebxml-registry.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,0.97,0.0,1.0
cornerstone.csv,0.67,0.97,0.72,0.73,0.7,0.56,0.55,0.61,0.06,0.56,0.72,0.6,0.66,0.46
firebreath.csv,0.48,0.99,1.0,0.85,0.65,0.66,0.05,0.77,0.82,0.63,0.7,0.78,1.14,0.71
lsb.csv,0.57,0.02,0.75,0.61,0.63,0.57,0.69,0.63,0.81,0.64,0.75,0.63,0.83,0.57
maya-work-in-progress.csv,0.44,0.62,0.42,0.55,0.65,0.66,0.68,0.03,0.87,0.75,0.62,0.7,0.82,0.64
mia.csv,0.92,0.97,1.0,0.83,0.95,0.94,0.92,0.83,0.61,0.11,1.01,0.56,0.91,0.77
open-beos.csv,0.53,0.89,0.54,0.55,0.54,0.04,0.7,0.57,0.63,0.5,0.65,0.65,1.05,0.43
qgis.csv,0.54,0.51,0.51,0.01,0.46,0.53,0.58,0.34,0.76,0.77,0.74,0.62,0.57,0.6
rocrail.csv,0.78,0.98,1.0,0.79,0.8,0.86,0.87,0.97,0.88,0.84,0.9,0.95,0.94,0.0
rtb-team.csv,0.63,0.42,0.07,0.73,0.67,0.71,0.72,0.69,0.75,0.64,0.69,0.7,0.62,0.48
tradelink.csv,0.57,0.9,0.87,0.64,0.66,0.83,0.82,0.84,0.9,0.67,0.75,0.05,0.93,0.4
upp-mirror.csv,0.75,0.47,0.88,0.69,0.02,0.63,0.72,0.73,0.8,0.48,0.61,0.63,0.84,0.38
