,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.98,0.52,0.83,0.81,0.54,0.5,0.0,0.71,0.48,0.94,0.0,0.82,0.0,0.69,0.0
arianne.csv,0.48,0.42,0.42,0.53,0.41,0.49,0.36,0.4,0.51,0.39,0.54,0.38,0.49,0.91,0.44
auber.csv,0.52,0.42,0.42,0.52,0.38,0.71,0.39,0.96,0.5,0.48,0.64,0.38,0.5,0.44,0.5
bl-toolkit.csv,0.4,0.42,0.45,0.62,0.41,0.45,0.38,0.42,0.44,0.48,0.52,0.44,0.48,0.43,0.33
growl-for-windows.csv,0.0,0.33,0.83,0.55,0.86,0.0,0.53,0.86,0.42,0.54,0.4,0.0,0.43,0.41,0.68
keyczar.csv,0.97,0.5,0.0,0.78,0.7,0.47,0.67,0.79,0.75,0.96,0.77,0.8,0.83,0.42,0.45
kml.csv,0.48,0.42,0.51,0.57,0.39,0.48,0.44,0.39,0.42,0.39,0.55,0.38,0.49,0.4,0.51
knowledge.csv,0.48,0.42,0.42,0.51,0.4,0.41,0.4,0.55,0.46,0.43,0.58,0.4,0.46,0.49,0.46
les-indemodables.csv,0.4,0.37,0.46,0.48,0.39,0.44,0.34,0.44,0.41,0.41,0.69,0.38,0.52,0.38,0.54
lportal.csv,0.86,0.71,0.5,0.0,0.0,0.0,0.9,0.0,0.89,0.92,0.0,0.74,0.55,0.0,0.0
lufa-lib.csv,0.57,0.46,0.54,0.62,0.42,0.64,0.5,0.6,0.54,0.58,0.74,0.45,0.48,0.49,0.61
micomt.csv,0.46,0.39,0.59,0.86,0.43,0.89,0.9,0.44,0.45,0.5,0.68,0.43,0.51,0.64,0.59
sigil.csv,0.59,0.38,0.56,0.8,0.38,0.64,0.89,0.52,0.45,0.47,0.74,0.43,0.47,0.7,0.75
ultimairis.csv,0.45,0.77,0.44,0.59,0.59,0.83,0.36,0.77,0.8,0.61,0.51,0.38,0.0,0.0,0.85
voms.csv,0.51,0.41,0.45,0.76,0.83,0.86,0.55,0.92,0.51,0.64,0.89,0.39,0.57,0.0,0.83
