,arianne.csv,knowledge.csv,bl-toolkit.csv,voms.csv,amateur-scrolls.csv,micomt.csv,kml.csv,ultimairis.csv,sigil.csv,auber.csv,lufa-lib.csv,lportal.csv,les-indemodables.csv,keyczar.csv,growl-for-windows.csv
amateur-scrolls.csv,0.23,0.2,0.05,0.55,0.22,0.0,0.0,0.23,0.08,0.02,0.0,0.37,0.0,0.13,0.0
arianne.csv,0.26,1.0,1.0,0.98,0.96,0.71,0.97,1.0,0.54,0.95,0.93,0.96,0.95,0.27,0.94
auber.csv,0.37,0.6,1.0,1.0,0.52,0.36,0.69,0.08,0.54,0.24,0.37,0.99,0.57,0.4,0.67
bl-toolkit.csv,0.75,1.0,0.23,0.29,0.96,0.93,0.92,0.95,0.97,0.93,1.0,0.44,1.0,1.0,0.89
growl-for-windows.csv,0.0,0.2,0.05,0.85,0.09,0.0,0.13,0.09,0.43,0.15,0.36,0.0,0.35,0.4,0.11
keyczar.csv,0.18,0.2,0.0,0.11,0.39,0.73,0.62,0.27,0.11,0.4,0.44,0.0,0.05,0.27,0.44
kml.csv,0.61,1.0,0.32,0.89,0.89,0.61,0.23,0.91,0.51,0.73,0.5,0.99,0.91,0.33,0.83
knowledge.csv,0.31,0.0,0.77,0.68,0.7,0.98,0.62,0.37,0.78,0.6,0.67,0.94,0.54,0.53,0.67
les-indemodables.csv,0.75,0.4,0.91,0.56,0.43,0.54,0.72,0.49,0.27,0.51,0.19,0.99,0.35,0.47,0.61
lportal.csv,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.04,0.0,0.18,0.31,0.0,0.0
lufa-lib.csv,0.66,0.8,0.55,0.85,0.76,0.58,0.59,0.61,0.57,0.55,0.33,0.65,0.85,0.67,0.5
micomt.csv,0.76,0.8,0.27,0.5,0.59,0.12,0.05,0.78,0.51,0.53,0.25,0.86,0.57,0.2,0.5
sigil.csv,0.28,0.2,0.32,0.21,0.63,0.29,0.0,0.33,0.22,0.35,0.16,0.73,0.52,0.07,0.11
ultimairis.csv,0.48,0.0,0.86,0.39,0.22,0.24,1.0,0.15,0.03,0.13,0.92,1.0,0.0,0.0,0.17
voms.csv,0.32,0.2,0.95,0.18,0.07,0.03,0.28,0.03,0.14,0.15,0.11,0.96,0.34,0.07,0.11
