,recall,precision,pf,wins
abbot.csv,0.82,0.4,0.71,217
acdk.csv,0.445,0.51,0.25,601
acegisecurity.csv,0.64,0.425,0.48,410
adaptagrams.csv,0.41,0.5,0.22,597
adobe-source.csv,0.48,0.45,0.34,485
adonthell.csv,0.51,0.375,0.46499999999999997,231
agilitybook.csv,0.42,0.39,0.4,259
aime.csv,0.3,0.33,0.28,226
alembik.csv,0.27,0.55,0.13,615
algebsql.csv,0.39,0.33,0.51,58
all-plasm.csv,0.33,0.4,0.29,335
alleg.csv,0.5,0.39,0.42,293
alpine.csv,0.72,0.405,0.6,275
alsa.csv,0.67,0.44,0.51,419
amanda.csv,0.535,0.44,0.415,429
amateur-scrolls.csv,0.2,0.33,0.15,295
ambulant.csv,0.65,0.39,0.64,152
amygdala.csv,0.4,0.39,0.38,265
anaxagora.csv,0.63,0.42,0.49,369
apertium.csv,0.33,0.395,0.27,361
apolloplayer.csv,0.57,0.41,0.42,406
applet2app.csv,0.58,0.5,0.35,587
arcallians.csv,0.67,0.43,0.51,401
archive-crawler.csv,0.43,0.41,0.36,347
ardour.csv,0.51,0.5,0.3,591
arianne.csv,0.95,0.375,0.93,60
array4j.csv,0.59,0.35,0.62,93
arsenal-1.csv,0.25,0.47,0.17,531
atlc.csv,0.69,0.38,0.67,141
atomsite.csv,0.71,0.4,0.62,239
atunes.csv,0.61,0.42,0.46,399
auber.csv,0.8,0.4,0.72,187
aubit4gl.csv,0.14,0.375,0.13,342
aufs.csv,0.26,0.315,0.255,198
autat.csv,0.29,0.47,0.18,542
autofac.csv,0.58,0.43,0.44,417
autoopencas.csv,0.3,0.27,0.45,18
avifile.csv,0.44,0.36,0.5,127
avisynth2.csv,0.025,0.275,0.02,251
awemud.csv,0.575,0.45,0.395,493
aztec.csv,0.36,0.5,0.21,581
azureus.csv,0.85,0.39,0.8,135
baadengine.csv,0.89,0.4,0.77,197
bacnet.csv,0.46,0.45,0.33,478
bacula.csv,0.73,0.42,0.59,320
badtrinity-zero.csv,0.44,0.43,0.33,442
badtrinitycore.csv,0.345,0.41,0.26,420
barracudamvc.csv,0.93,0.35,0.97,13
bdbbasic.csv,0.45,0.4,0.36,350
beast-mcmc.csv,0.74,0.44,0.57,397
benojt.csv,1.0,0.365,1.0,26
betoffice.csv,0.71,0.32,0.83,3
bibedt.csv,0.54,0.44,0.39,462
bibletime.csv,0.7,0.42,0.535,375
bigdata.csv,0.44,0.41,0.375,333
bionote.csv,0.35,0.5,0.19,593
bl-toolkit.csv,0.69,0.36,0.71,84
blogentis.csv,0.52,0.355,0.645,41
bloodycore.csv,0.20500000000000002,0.38,0.18,341
