,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.56,0.42,0.6,0.41,0.62,0.62,0.54,0.71,0.6,0.5,0.64,0.75,0.42,0.41,1.0,0.86,0.72
enzo.csv,0.78,0.77,0.84,0.84,0.94,0.88,0.75,0.79,0.99,0.6,0.95,0.89,0.96,0.87,0.93,1.0,0.77
hydrogen.csv,0.51,0.12,0.19,0.09,0.31,1.0,0.28,0.55,0.25,0.3,0.23,0.36,0.1,0.18,0.32,0.77,0.6
keyczar.csv,0.58,0.42,0.44,0.75,0.65,0.5,0.27,0.4,0.63,0.3,0.23,0.68,1.0,0.53,0.52,0.45,0.37
lphant.csv,0.51,0.52,0.67,0.5,0.58,0.69,0.72,0.9,0.52,0.6,1.0,0.82,0.42,0.57,0.73,0.91,0.91
lsb.csv,0.76,0.64,0.81,0.78,0.84,0.88,0.87,0.81,0.75,0.8,0.91,0.89,0.56,0.54,1.0,1.0,0.74
maya-work-in-progress.csv,0.69,0.82,0.92,1.0,0.86,0.88,0.9,0.81,0.82,0.8,0.86,0.93,0.58,0.99,0.86,1.0,0.84
mcore3d.csv,0.11,1.0,0.81,0.78,0.62,0.62,0.52,0.31,0.37,0.9,0.91,0.96,0.6,0.9,0.91,0.68,0.72
mscore.csv,0.42,0.72,0.73,0.5,1.0,0.81,0.82,0.98,0.49,0.9,0.64,0.96,0.46,0.85,0.61,0.91,0.79
natpad.csv,0.89,0.57,0.6,0.47,0.53,0.81,0.85,0.81,0.75,0.9,0.36,0.68,0.38,0.89,0.43,0.77,1.0
rocrail.csv,0.02,0.14,0.17,0.09,0.23,0.5,0.31,0.43,0.19,0.3,0.18,0.32,0.1,0.15,0.25,1.0,0.44
salasaga.csv,1.0,0.8,0.83,1.0,0.95,0.88,0.76,0.98,0.84,0.8,0.77,1.0,1.0,0.81,0.89,0.91,0.77
virtuoso.csv,1.0,0.98,0.94,1.0,0.97,1.0,1.0,0.98,0.99,0.8,1.0,1.0,0.29,0.99,0.93,1.0,1.0
xemeiah.csv,0.78,0.47,0.59,0.25,0.38,0.62,1.0,0.71,0.48,0.6,0.55,0.57,0.21,0.74,0.61,0.86,0.7
xined.csv,0.91,0.36,0.51,0.16,0.26,0.56,0.52,0.21,0.1,1.0,0.32,0.54,0.0,0.75,0.39,0.36,0.42
xtreemfs.csv,0.13,0.7,0.76,0.62,0.66,0.94,0.76,0.6,0.36,0.8,0.82,0.5,0.27,0.99,0.73,0.68,0.63
yield.csv,0.49,0.79,1.0,0.88,0.9,0.75,0.84,0.88,0.79,1.0,0.86,1.0,0.9,0.91,0.91,0.95,0.88
