,lsb.csv,mcore3d.csv,yield.csv,maya-work-in-progress.csv,mscore.csv,hydrogen.csv,xemeiah.csv,virtuoso.csv,enzo.csv,xined.csv,lphant.csv,salasaga.csv,keyczar.csv,xtreemfs.csv,autowikibrowser.csv,rocrail.csv,natpad.csv
autowikibrowser.csv,0.45,0.64,0.45,0.6,0.48,0.42,0.53,0.66,0.43,0.68,0.41,0.46,0.62,0.82,0.0,0.38,0.49
enzo.csv,0.45,0.57,0.78,0.78,0.86,0.49,0.82,0.7,0.12,0.93,0.91,0.72,0.67,0.96,0.91,0.86,0.64
hydrogen.csv,0.49,0.88,0.82,0.91,0.69,0.01,0.72,0.54,0.75,0.72,0.79,0.65,0.9,0.83,0.72,0.31,0.46
keyczar.csv,0.71,0.82,0.78,0.71,0.74,0.7,0.89,0.74,0.41,0.75,0.81,0.63,0.07,0.6,0.56,0.77,0.8
lphant.csv,1.07,0.77,0.42,0.53,0.54,0.72,0.54,0.83,0.77,0.58,0.0,0.69,0.64,0.61,0.55,0.61,0.66
lsb.csv,0.24,0.59,0.66,0.42,0.75,0.71,0.71,0.7,0.38,0.68,0.67,0.58,0.55,0.91,0.59,0.53,0.58
maya-work-in-progress.csv,0.77,0.62,0.71,0.0,0.64,0.59,0.57,0.84,0.82,0.73,0.62,0.57,0.53,0.89,0.72,0.76,0.65
mcore3d.csv,0.96,0.0,0.51,0.84,0.47,0.51,0.62,0.74,0.64,0.75,0.79,0.75,0.78,0.86,0.71,0.54,0.43
mscore.csv,0.78,0.66,0.4,0.51,0.0,0.49,0.52,0.82,0.88,0.73,0.49,0.66,0.6,0.55,0.55,0.56,0.5
natpad.csv,0.96,0.75,0.55,0.54,0.55,0.61,0.63,0.82,0.91,0.61,0.75,0.52,0.66,0.65,0.76,0.52,0.0
rocrail.csv,0.98,0.86,0.83,0.91,0.77,0.5,0.69,0.61,0.81,0.71,0.82,0.68,0.9,0.85,0.75,0.0,0.56
salasaga.csv,0.88,0.9,0.99,1.0,0.99,0.96,0.89,0.87,0.89,0.75,0.88,0.0,1.0,1.02,0.93,0.95,0.89
virtuoso.csv,1.0,0.97,0.96,1.0,0.94,0.74,0.96,0.02,1.0,0.4,1.0,1.0,0.89,0.93,0.95,0.97,1.0
xemeiah.csv,0.63,0.6,0.43,0.75,0.63,0.42,0.0,0.58,0.79,0.52,0.5,0.49,0.8,0.46,0.44,0.41,0.45
xined.csv,0.97,0.78,0.7,0.89,0.76,0.48,0.66,0.79,0.9,0.0,0.76,0.7,1.0,0.39,0.7,0.66,0.61
xtreemfs.csv,0.97,0.59,0.51,0.45,0.5,0.53,0.62,0.56,0.65,0.7,0.84,0.57,0.8,0.01,0.55,0.56,0.46
yield.csv,0.7,0.62,0.0,0.51,0.66,0.65,0.6,0.73,0.38,0.88,0.71,0.71,0.81,0.84,0.64,0.79,0.73
