,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,0.0,0.78,0.47,0.36,0.74,0.3,0.98,0.67,0.88,1.0,0.25,0.68,0.72,0.38
carabiner.csv,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elvishrayrenderer.csv,0.0,1.0,0.44,0.35,0.74,0.3,0.95,0.0,0.98,0.0,0.24,0.63,0.85,0.37
fleet-simulator.csv,0.0,0.0,0.42,0.52,0.81,0.3,0.0,0.0,1.0,0.0,0.24,0.0,0.8,0.42
gmerlin.csv,0.0,0.63,0.53,0.38,0.71,0.45,0.95,0.54,0.9,0.71,0.25,0.76,0.63,0.44
gnome-jabber.csv,0.12,0.53,0.48,0.37,0.72,0.28,0.95,0.33,0.83,0.71,0.26,0.69,0.65,0.39
ipfilter.csv,0.14,0.42,0.48,0.34,0.78,0.35,0.95,0.34,0.85,0.94,0.25,0.69,0.65,0.39
irplus.csv,0.0,0.67,0.44,0.74,0.8,0.28,0.0,0.0,1.0,0.0,0.27,1.0,0.71,0.46
mevenide.csv,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,1.0,0.0,0.74,0.0,0.0,0.0
moving-pictures.csv,0.12,0.53,0.88,0.36,0.7,0.33,0.95,0.33,0.75,0.71,0.15,0.69,0.63,0.57
opensim4opencog.csv,0.0,0.53,0.47,0.36,0.73,0.3,0.95,0.36,0.87,0.7,0.25,0.69,0.65,0.37
rockbox.csv,0.25,0.58,0.47,0.38,0.71,0.57,0.95,0.42,0.96,0.75,0.29,0.77,0.76,0.78
ta3d.csv,0.0,0.47,0.48,0.38,0.74,0.31,0.95,0.47,0.88,0.74,0.25,0.86,0.67,0.4
xcmetadataservicestoolkit.csv,0.0,0.0,0.55,0.45,0.86,0.29,0.98,0.0,0.84,1.0,0.25,0.68,0.65,0.46
