,opensim4opencog.csv,bnetd.csv,moving-pictures.csv,irplus.csv,xcmetadataservicestoolkit.csv,carabiner.csv,gnome-jabber.csv,gmerlin.csv,fleet-simulator.csv,ipfilter.csv,mevenide.csv,ta3d.csv,elvishrayrenderer.csv,rockbox.csv
bnetd.csv,1.0,0.36,1.0,1.0,0.93,1.0,0.56,0.81,0.88,0.67,1.0,0.84,0.67,0.97
carabiner.csv,1.0,1.0,1.0,1.0,1.0,0.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
elvishrayrenderer.csv,1.0,0.69,0.98,0.77,0.87,1.0,0.83,1.0,0.13,1.0,0.9,0.89,0.31,1.0
fleet-simulator.csv,1.0,1.0,0.79,0.5,0.53,1.0,1.0,1.0,0.0,1.0,0.87,1.0,0.88,0.77
gmerlin.csv,1.0,0.55,0.72,0.78,0.78,0.51,0.7,0.62,0.6,0.81,0.86,0.57,0.75,0.7
gnome-jabber.csv,1.0,1.0,0.94,0.93,1.0,0.76,1.0,1.0,1.04,1.0,0.77,1.0,1.0,0.88
ipfilter.csv,0.87,0.9,0.85,0.92,0.67,0.77,1.0,0.77,1.01,0.16,1.0,0.83,1.0,0.75
irplus.csv,1.0,0.95,0.77,0.35,0.66,0.78,1.0,1.0,0.72,1.0,0.84,0.97,0.86,0.57
mevenide.csv,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,0.98,1.0,0.52,1.0,1.0,1.0
moving-pictures.csv,1.0,1.0,0.24,0.96,0.9,0.91,1.0,1.0,1.14,1.0,0.89,1.0,1.0,0.41
opensim4opencog.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0
rockbox.csv,0.79,0.83,0.72,0.68,0.78,0.65,0.74,0.72,0.57,0.82,0.81,0.74,0.6,0.29
ta3d.csv,1.0,0.79,0.94,0.87,0.81,0.94,1.0,0.73,0.88,0.64,0.98,0.33,0.89,0.79
xcmetadataservicestoolkit.csv,1.0,1.0,0.67,0.61,0.41,1.0,0.59,1.0,1.02,0.93,0.99,0.84,0.81,0.59
