,google-collections.csv,forester-atv.csv,dsworkbench.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,pokenetonline.csv,avisynth2.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv,synecdoche.csv,rcp-company-uibindings.csv
adonthell.csv,0.18,0.54,0.49,0.63,0.58,0.14,0.41,0.18,0.53,0.53,0.0,0.72,0.7,0.69,0.0,0.18,0.0,0.48
avisynth2.csv,0.28,0.27,0.24,0.0,0.04,0.15,0.04,0.12,0.0,0.15,0.99,0.05,0.11,0.52,0.01,0.0,0.0,0.07
coot.csv,0.77,0.37,0.21,0.45,0.55,0.09,0.26,0.6,0.41,0.44,0.0,0.45,0.41,0.07,0.5,0.74,0.55,0.33
dsworkbench.csv,0.64,0.74,0.74,0.51,0.6,0.6,0.45,0.6,0.29,0.46,0.55,0.49,0.64,0.46,0.47,0.43,0.5,0.55
forester-atv.csv,0.0,0.72,0.6,0.29,0.32,0.61,0.19,0.67,0.54,0.4,0.96,0.36,0.5,0.52,0.1,0.29,0.09,0.46
freelords.csv,0.7,0.36,0.24,0.0,0.61,0.68,0.43,0.71,0.71,0.62,0.24,0.71,0.6,0.69,0.0,0.0,0.09,0.43
gabel.csv,0.05,0.52,0.24,0.43,0.19,0.63,0.47,0.29,0.77,0.66,0.37,0.23,0.48,0.07,0.29,0.21,0.28,0.23
geotools.csv,0.66,0.6,0.59,0.66,0.56,0.54,0.5,0.64,0.65,0.48,0.49,0.77,0.66,0.33,0.45,0.57,0.44,0.51
gephex.csv,0.12,0.33,0.0,0.39,0.62,0.65,0.56,0.43,0.47,0.29,0.0,0.09,0.63,0.63,0.69,0.21,0.0,0.53
google-collections.csv,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.43,0.56,0.5,0.0,0.11,0.87,0.41,0.12,0.85,0.21,0.86,0.5,0.47,0.52,0.0,0.0,0.0,0.09
neodatis-odb.csv,0.0,0.59,0.52,0.46,0.54,0.42,0.69,0.66,0.48,0.4,0.13,0.38,0.45,0.27,0.59,0.63,0.21,0.53
pokenetonline.csv,0.5,0.0,0.24,0.56,0.62,0.27,0.38,0.66,0.34,0.78,0.0,0.48,0.3,0.76,0.48,0.56,0.39,0.79
rcp-company-uibindings.csv,0.69,0.55,0.64,0.33,0.63,0.65,0.34,0.48,0.53,0.24,0.68,0.67,0.61,0.44,0.49,0.67,0.5,0.88
scenemonitor.csv,0.66,0.56,0.7,0.32,0.39,0.55,0.48,0.75,0.51,0.12,0.68,0.67,0.46,0.63,0.44,0.56,0.35,0.56
servicestack.csv,0.15,0.65,0.38,0.0,0.11,0.07,0.19,0.12,0.0,0.29,0.36,0.23,0.17,0.73,0.01,0.21,0.0,0.18
synecdoche.csv,0.65,0.49,0.44,0.4,0.66,0.27,0.4,0.54,0.28,0.29,0.0,0.34,0.54,0.42,0.56,0.26,0.7,0.53
twostep.csv,0.18,0.61,0.38,0.39,0.51,0.65,0.51,0.69,0.82,0.69,0.6,0.86,0.61,0.69,0.56,0.65,0.61,0.54
