,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.08,0.32,0.13,0.13,0.03,0.55,0.3,0.0,0.05,0.0,0.0,0.36,0.08
biopax.csv,1.0,1.0,0.99,0.94,0.94,1.0,1.0,1.0,0.96,1.0,0.89,1.0,0.93
gdis.csv,0.81,0.72,0.59,0.55,0.94,0.64,0.32,0.62,0.93,0.0,0.68,0.68,0.76
kml.csv,0.62,1.0,0.96,0.43,0.72,0.91,0.98,1.0,0.7,1.0,0.89,1.0,1.0
ppcboot.csv,1.0,1.0,0.99,0.66,0.97,0.82,0.96,1.0,0.93,1.0,0.97,1.0,0.99
repositorium.csv,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.25,0.0,1.0,0.05,0.32,0.08
rsyslog.csv,0.73,0.92,0.87,0.8,0.36,1.0,0.91,0.75,0.63,1.0,0.73,1.0,0.85
simplewebservices.csv,0.88,0.85,0.83,0.92,0.81,0.45,0.7,0.62,0.91,0.0,0.62,0.52,0.41
ultimairis.csv,0.81,0.92,0.84,0.46,0.53,0.09,0.6,0.88,0.54,0.0,0.24,0.81,0.51
wow-qrsk.csv,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.12,0.0,0.67,0.0,0.07,0.27
wxstudio.csv,0.73,0.22,0.34,0.88,0.42,0.55,0.6,0.0,0.46,0.0,0.59,0.03,0.15
xbg.csv,0.81,0.02,0.22,0.74,0.25,0.27,0.3,0.12,0.4,0.0,0.38,0.65,0.11
xqilla.csv,0.04,0.35,0.61,0.02,0.06,0.27,0.34,0.0,0.09,0.0,0.35,0.05,0.07
