,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,2.0,0.0,8.0,0.0,0.0,3.0,0.0,62.0,0.0,119.0,85.0,1.0,0.0
biopax.csv,4.0,7.0,30.0,0.0,2.0,3.0,0.0,15.0,0.0,60.0,0.0,0.0,2.0
gdis.csv,4.0,7.0,11.0,0.0,3.0,3.0,1.0,6.0,1.0,119.0,0.0,0.0,0.0
kml.csv,1.0,7.0,50.0,0.0,2.0,27.0,1.0,15.0,0.0,57.0,0.0,0.0,2.0
ppcboot.csv,4.0,7.0,67.0,0.0,3.0,3.0,1.0,13.0,0.0,60.0,0.0,0.0,2.0
repositorium.csv,49.0,143.0,938.0,236.0,74.0,2.0,150.0,10.0,69.0,34.0,5.0,0.0,0.0
rsyslog.csv,0.0,7.0,37.0,0.0,2.0,3.0,0.0,14.0,1.0,60.0,0.0,0.0,1.0
simplewebservices.csv,4.0,7.0,30.0,0.0,3.0,2.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0
ultimairis.csv,1.0,7.0,14.0,0.0,1.0,21.0,0.0,11.0,1.0,119.0,5.0,0.0,1.0
wow-qrsk.csv,49.0,1.0,1.0,236.0,74.0,96.0,150.0,0.0,69.0,16.0,85.0,0.0,0.0
wxstudio.csv,10.0,4.0,63.0,0.0,2.0,2.0,1.0,62.0,0.0,119.0,1.0,0.0,1.0
xbg.csv,4.0,5.0,64.0,0.0,3.0,3.0,1.0,0.0,0.0,119.0,0.0,0.0,0.0
xqilla.csv,0.0,2.0,10.0,1.0,3.0,29.0,2.0,62.0,2.0,119.0,1.0,1.0,1.0
