,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.37,0.13,0.05,0.39,0.12,0.0,0.05,0.37,0.29,0.07
h2database.csv,0.27,0.39,0.24,0.64,0.51,0.16,0.21,0.56,0.35,0.05
hannosset.csv,0.04,0.2,0.16,0.28,0.25,0.38,0.58,0.3,0.21,0.06
jaql.csv,0.31,0.31,0.33,0.63,0.49,0.0,0.23,0.22,0.03,0.07
megameknet.csv,0.23,0.21,0.54,0.56,0.54,0.18,0.9,0.59,0.57,0.15
ngl.csv,0.21,0.25,0.51,0.52,0.47,0.15,0.85,0.67,0.67,0.11
qedo.csv,0.11,0.0,0.34,0.17,0.12,0.0,0.28,0.18,0.52,0.35
qmmp.csv,0.23,0.26,0.52,0.48,0.45,0.21,0.72,0.64,0.71,0.11
raven-monitoring.csv,0.16,0.15,0.68,0.41,0.41,0.06,0.36,0.33,0.33,0.11
v8.csv,0.06,0.28,0.5,0.42,0.31,0.23,0.9,0.48,0.34,0.12
