,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.27,0.08,0.02,0.03,0.03,0.03,0.0,0.04,0.05,0.14
h2database.csv,0.4,0.25,0.15,0.33,0.14,0.42,0.08,0.24,0.06,0.38
hannosset.csv,0.02,0.18,0.23,0.31,0.15,0.22,0.69,0.25,0.08,0.28
jaql.csv,0.45,0.26,0.19,0.24,0.07,0.06,0.0,0.05,0.02,0.24
megameknet.csv,0.66,0.93,0.46,0.74,0.23,0.81,0.69,0.64,0.9,0.69
ngl.csv,0.92,0.6,0.38,0.61,0.31,0.8,0.62,0.33,0.55,0.47
qedo.csv,0.43,0.13,0.08,0.17,0.31,0.0,0.46,0.12,0.74,0.24
qmmp.csv,0.84,0.8,0.48,0.56,0.16,0.64,0.69,0.32,0.19,0.64
raven-monitoring.csv,0.49,0.57,0.33,0.27,0.2,0.35,0.08,0.48,0.63,0.19
v8.csv,0.24,0.29,0.87,0.76,0.64,0.48,0.08,0.67,0.55,0.77
