,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.25,0.17,0.5,0.83,0.38,0.0,1.0,0.88,0.79,0.06
h2database.csv,0.17,0.28,0.43,0.58,0.51,0.09,0.96,0.7,0.78,0.03
hannosset.csv,0.12,0.17,0.25,0.33,0.29,0.25,0.91,0.5,0.62,0.04
jaql.csv,0.19,0.22,0.47,0.63,0.62,0.0,1.0,0.76,0.5,0.05
megameknet.csv,0.13,0.12,0.48,0.42,0.45,0.1,0.95,0.54,0.46,0.08
ngl.csv,0.12,0.15,0.49,0.42,0.38,0.08,0.95,0.7,0.59,0.07
qedo.csv,0.07,0.0,0.67,0.31,0.11,0.0,0.85,0.51,0.45,0.23
qmmp.csv,0.13,0.15,0.46,0.4,0.46,0.12,0.93,0.69,0.77,0.06
raven-monitoring.csv,0.1,0.09,0.61,0.47,0.38,0.04,0.98,0.41,0.34,0.08
v8.csv,0.05,0.19,0.38,0.33,0.21,0.13,0.99,0.46,0.37,0.07
