,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.68,0.11,0.03,0.26,0.07,0.0,0.02,0.23,0.17,0.09
h2database.csv,0.61,0.66,0.17,0.71,0.51,0.5,0.12,0.46,0.22,0.14
hannosset.csv,0.02,0.25,0.11,0.24,0.22,0.83,0.43,0.21,0.13,0.14
jaql.csv,0.8,0.51,0.26,0.63,0.41,0.0,0.13,0.13,0.02,0.14
megameknet.csv,0.77,0.87,0.63,0.83,0.65,1.0,0.85,0.65,0.76,0.68
ngl.csv,0.95,0.74,0.54,0.69,0.64,0.83,0.76,0.65,0.78,0.36
qedo.csv,0.25,0.0,0.23,0.12,0.13,0.0,0.17,0.11,0.6,0.77
qmmp.csv,0.98,0.98,0.6,0.6,0.45,1.0,0.59,0.6,0.65,0.45
raven-monitoring.csv,0.41,0.42,0.77,0.36,0.43,0.17,0.22,0.28,0.32,0.18
v8.csv,0.09,0.49,0.77,0.59,0.59,0.83,0.83,0.49,0.32,0.59
