,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.82,0.76,0.96,0.6,0.79,0.92,0.01,0.71,0.7,0.73,0.81
gstreamer.csv,0.5,0.54,0.6,0.45,0.61,0.72,0.44,0.55,0.56,0.04,0.66
ktc.csv,0.07,0.55,0.76,0.79,0.63,0.71,0.83,0.76,0.64,0.83,0.72
mbse.csv,0.5,0.46,0.09,0.73,0.6,0.43,0.9,0.54,0.7,0.74,0.65
nebuladevice.csv,0.94,0.84,0.89,0.95,0.91,0.91,0.89,0.96,0.0,0.94,0.79
neoengine.csv,0.51,0.03,1.0,0.78,0.57,0.86,0.5,1.0,0.81,1.0,0.69
openmalaria.csv,0.54,0.52,0.91,0.03,0.64,0.8,0.39,0.62,0.65,0.46,0.56
rtrt-on-gpu.csv,0.59,0.58,0.6,0.87,0.58,0.0,0.65,0.69,0.77,0.75,0.79
salasaga.csv,0.92,0.92,0.78,0.94,0.91,1.0,0.89,0.04,0.91,0.95,0.82
skia.csv,0.62,0.8,0.73,0.95,0.83,0.9,0.75,0.68,0.68,0.63,0.09
xemeiah.csv,0.49,0.51,0.56,0.7,0.01,0.73,0.55,0.54,0.59,0.64,0.54
