,ktc.csv,neoengine.csv,mbse.csv,openmalaria.csv,xemeiah.csv,rtrt-on-gpu.csv,enzo.csv,salasaga.csv,nebuladevice.csv,gstreamer.csv,skia.csv
enzo.csv,0.94,0.8,0.98,0.81,0.73,0.5,0.99,0.86,1.0,0.82,0.91
gstreamer.csv,0.61,0.7,0.72,0.64,0.57,0.4,0.66,0.71,0.67,0.96,0.57
ktc.csv,0.93,0.47,0.25,0.24,0.39,0.3,0.17,0.39,0.4,0.19,0.35
mbse.csv,0.64,0.6,0.91,0.5,0.69,0.6,0.6,0.54,0.6,0.56,0.52
nebuladevice.csv,0.06,0.17,0.11,0.07,0.09,0.1,0.11,0.04,1.0,0.06,0.22
neoengine.csv,0.61,0.97,0.98,0.31,0.58,0.2,0.59,1.0,0.27,0.99,0.52
openmalaria.csv,0.86,0.65,0.97,0.98,0.55,0.3,0.69,0.86,0.8,0.65,0.74
rtrt-on-gpu.csv,0.43,0.44,0.6,0.17,0.57,1.0,0.52,0.39,0.27,0.45,0.3
salasaga.csv,0.77,0.68,0.75,0.81,0.66,0.9,0.87,0.96,0.8,0.64,0.83
skia.csv,0.38,0.21,0.69,0.1,0.18,0.1,0.26,0.86,0.33,0.51,0.91
xemeiah.csv,0.56,0.62,0.51,0.31,0.99,0.3,0.46,0.5,0.53,0.37,0.52
