,logicmail.csv,taverna.csv,javagroups.csv,jrefactory.csv,freenet.csv,nodal.csv,soar.csv,web-cat.csv
freenet.csv,0.41,0.55,0.38,0.47,0.43,0.4,0.67,0.42
javagroups.csv,0.67,0.86,0.54,0.67,0.6,0.92,0.0,0.75
jrefactory.csv,0.5,0.44,0.39,0.54,0.48,0.78,0.45,0.46
logicmail.csv,0.33,0.4,0.33,0.35,0.42,0.34,0.0,0.31
nodal.csv,0.43,0.92,0.58,0.55,0.45,0.77,0.45,0.62
soar.csv,0.41,0.49,0.45,0.47,0.53,0.34,0.53,0.38
taverna.csv,0.88,0.74,0.96,0.94,0.71,0.89,0.5,0.5
web-cat.csv,0.65,0.57,0.58,0.69,0.65,0.7,0.44,0.61
