,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.54,0.99,0.41,0.38,0.28,0.33,0.33,0.36,0.44,0.52
bibedt.csv,0.63,0.09,0.37,0.27,0.2,0.62,1.0,0.64,0.32,0.58
cascading.csv,0.0,0.09,0.29,0.56,0.0,0.66,0.59,0.34,0.98,0.24
firebreath.csv,0.55,0.09,0.98,0.59,0.36,0.56,0.76,0.69,0.51,0.3
fritzing.csv,0.98,0.58,0.57,0.38,0.2,0.55,0.12,0.5,0.43,0.53
httpcontentparser.csv,0.42,0.25,0.04,0.0,0.19,0.96,0.12,0.1,0.05,0.12
mpgravity.csv,0.61,0.51,0.54,0.74,1.0,0.63,0.51,0.65,0.55,0.61
patterntesting.csv,0.58,0.61,0.63,1.0,0.2,0.65,0.58,0.68,0.66,0.57
roller.csv,0.34,0.36,0.61,0.58,0.36,0.64,0.45,0.97,0.47,0.68
xfce.csv,0.7,0.53,0.55,0.55,0.42,0.58,0.65,0.43,0.59,0.96
