,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.58,0.06,0.41,0.68,0.41,0.48,0.46,0.69,0.55,0.45
bibedt.csv,0.19,0.33,0.2,0.02,0.1,0.57,0.0,0.12,0.24,0.64
cascading.csv,0.0,0.15,0.17,0.3,0.0,0.31,0.46,0.39,0.06,0.13
firebreath.csv,0.73,0.98,0.02,0.6,0.39,0.37,0.54,0.39,0.55,0.92
fritzing.csv,0.0,0.44,0.15,0.06,0.02,0.46,0.24,0.43,0.21,0.48
httpcontentparser.csv,0.26,0.38,0.05,0.02,0.59,0.01,0.05,0.0,0.0,0.13
mpgravity.csv,0.48,0.75,0.59,0.21,0.02,0.54,0.46,0.47,0.48,0.6
patterntesting.csv,0.44,0.56,0.65,0.02,0.17,0.67,0.49,0.51,0.42,0.7
roller.csv,0.43,0.46,0.51,0.11,0.37,0.65,0.15,0.04,0.3,0.42
xfce.csv,0.51,0.67,0.44,0.68,0.83,0.6,0.49,0.75,0.58,0.06
