,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.72,0.06,0.74,0.91,0.86,0.85,0.84,0.93,0.78,0.67
bibedt.csv,0.45,0.98,0.7,0.77,0.84,0.65,0.0,0.42,0.76,0.71
cascading.csv,1.0,0.94,0.77,0.55,1.0,0.47,0.61,0.8,0.06,0.81
firebreath.csv,0.77,0.99,0.03,0.68,0.77,0.58,0.55,0.48,0.72,0.92
fritzing.csv,0.03,0.6,0.49,0.67,0.83,0.64,0.93,0.68,0.64,0.67
httpcontentparser.csv,0.68,0.86,0.97,1.0,1.02,0.05,0.9,0.92,0.96,0.91
mpgravity.csv,0.6,0.81,0.73,0.34,0.02,0.61,0.68,0.56,0.65,0.67
patterntesting.csv,0.61,0.65,0.68,0.02,0.85,0.68,0.63,0.56,0.53,0.75
roller.csv,0.82,0.81,0.62,0.48,0.76,0.68,0.62,0.05,0.65,0.51
xfce.csv,0.55,0.76,0.63,0.76,0.89,0.7,0.57,0.89,0.67,0.08
