,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.53,0.97,0.38,0.32,0.19,0.11,0.19,0.41,0.56,0.59
bibedt.csv,0.66,0.11,0.4,0.37,0.22,0.22,1.0,0.71,0.42,0.7
cascading.csv,0.0,0.12,0.33,0.53,0.0,0.31,0.34,0.39,0.99,0.32
firebreath.csv,0.59,0.64,0.98,0.51,0.25,0.24,0.44,0.72,0.63,0.8
fritzing.csv,0.99,0.6,0.6,0.47,0.27,0.2,0.1,0.54,0.54,0.61
httpcontentparser.csv,0.45,0.29,0.06,0.0,0.11,0.95,0.15,0.15,0.08,0.17
mpgravity.csv,0.59,0.58,0.46,0.71,0.96,0.23,0.29,0.69,0.66,0.71
patterntesting.csv,0.57,0.62,0.56,0.98,0.19,0.23,0.33,0.72,0.76,0.72
roller.csv,0.35,0.38,0.53,0.63,0.26,0.22,0.4,0.97,0.56,0.75
xfce.csv,0.67,0.57,0.49,0.49,0.3,0.19,0.38,0.51,0.72,0.97
