,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.59,0.49,0.71,0.7,0.8,0.76,0.59,0.62,0.64,0.67
bibedt.csv,0.48,0.95,0.67,0.88,0.83,0.57,0.9,0.47,0.61,0.47
cascading.csv,0.0,0.91,0.77,0.47,0.0,0.55,0.36,0.58,0.42,0.73
firebreath.csv,0.47,0.35,0.59,0.65,0.75,0.62,0.55,0.49,0.57,0.47
fritzing.csv,0.54,0.4,0.65,0.85,0.67,0.62,0.73,0.55,0.64,0.57
httpcontentparser.csv,0.72,0.73,0.86,0.0,0.58,0.95,0.67,0.83,0.8,0.96
mpgravity.csv,0.49,0.36,0.5,0.53,0.69,0.5,0.54,0.41,0.44,0.53
patterntesting.csv,0.5,0.41,0.46,0.55,0.89,0.48,0.58,0.39,0.43,0.42
roller.csv,0.67,0.55,0.52,0.52,0.68,0.52,0.9,0.43,0.52,0.42
xfce.csv,0.46,0.47,0.57,0.58,0.43,0.54,0.44,0.48,0.48,0.48
