,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv
ikvm.csv,0.67,1.0,0.04,0.14,0.79,0.79,0.45
libtorrent.csv,0.71,0.4,0.05,0.31,0.73,1.0,0.59
mcmc-jags.csv,0.7,0.3,0.05,1.0,0.8,0.88,0.67
olap-navigator.csv,1.0,0.42,0.05,0.43,0.75,0.87,0.55
pidgin.csv,0.76,0.48,0.06,0.38,0.99,0.91,0.64
sepgsql.csv,0.36,0.42,0.92,0.27,0.72,0.74,0.54
xstore.csv,0.73,0.42,0.07,0.5,0.84,0.96,0.98
