,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv
ikvm.csv,0.27,0.96,0.48,0.09,0.32,0.36,0.26
libtorrent.csv,0.54,0.45,0.45,0.64,0.39,1.0,0.62
mcmc-jags.csv,0.51,0.38,0.37,1.0,0.47,0.5,0.65
olap-navigator.csv,1.0,0.56,0.27,0.67,0.62,0.65,0.48
pidgin.csv,0.3,0.64,0.68,0.37,0.99,0.57,0.67
sepgsql.csv,0.15,0.27,0.88,0.24,0.33,0.24,0.18
xstore.csv,0.53,0.39,0.71,0.45,0.59,0.57,1.0
