,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.39,0.42,0.0,0.3,0.27
google-gears.csv,0.27,0.64,0.67,0.36,0.03
httpcontentparser.csv,0.03,0.0,0.0,0.09,0.0
qse.csv,0.27,0.27,0.04,0.02,0.16
xmemcached.csv,0.0,0.19,0.02,0.83,0.3
