,xmemcached.csv,httpcontentparser.csv,bdbbasic.csv,qse.csv,google-gears.csv
bdbbasic.csv,0.64,0.63,1.0,0.82,0.59
google-gears.csv,0.55,0.64,0.56,0.69,0.99
httpcontentparser.csv,0.05,0.92,0.06,0.2,0.1
qse.csv,0.74,0.62,0.47,0.92,0.37
xmemcached.csv,0.97,0.34,0.06,0.5,0.49
