,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,0.47,0.6,0.53,0.5,0.23,0.31,0.12,0.65,0.8,0.79,0.68,0.09,0.19,0.21,0.47,0.22,0.77,0.31
bscwweasel.csv,0.6,0.75,0.69,0.6,0.32,0.42,0.21,0.74,0.68,0.73,0.57,0.2,0.77,0.13,0.33,0.52,0.91,0.45
capcode.csv,0.42,0.75,0.63,0.42,0.14,0.36,0.32,0.72,0.75,0.79,0.62,0.03,0.34,0.13,0.35,0.34,0.79,0.44
dspace-gsoc.csv,0.67,0.5,0.59,0.69,0.12,0.29,0.14,0.64,0.74,0.79,0.8,0.03,0.24,0.19,0.44,0.24,0.79,0.29
emite.csv,0.53,0.52,0.75,0.5,0.03,0.14,0.0,0.55,0.64,0.81,0.56,0.0,0.07,0.28,0.56,0.07,0.0,0.21
fbmanager.csv,0.8,0.63,0.77,0.81,0.28,0.5,0.18,0.9,0.59,0.83,0.62,0.08,0.62,0.16,0.33,0.83,0.78,0.63
freenet.csv,0.49,0.41,0.58,0.52,0.13,0.4,0.16,0.79,0.74,0.83,0.64,0.04,0.28,0.16,0.41,0.24,0.76,0.33
geogebra.csv,0.66,1.0,0.76,0.68,0.21,0.37,0.19,0.7,0.7,0.8,0.7,0.04,0.56,0.19,0.29,0.47,0.74,0.44
megameknet.csv,0.68,0.48,0.71,0.63,0.2,0.36,0.15,0.73,0.71,0.84,0.68,0.06,0.42,0.15,0.4,0.28,0.82,0.44
ondex.csv,0.62,1.0,0.77,0.82,0.12,0.29,0.21,0.77,0.7,0.85,0.61,0.02,0.58,0.29,0.38,0.42,0.85,0.35
onotoa.csv,0.48,0.59,0.71,0.71,0.09,0.21,0.17,0.62,0.7,0.87,0.61,0.01,0.29,0.16,0.44,0.2,0.79,0.24
paintown.csv,0.77,0.49,0.65,0.57,0.12,0.32,0.13,0.7,0.75,0.81,0.73,0.04,0.23,0.17,0.4,0.22,0.69,0.3
powerfolder.csv,0.73,0.48,0.75,0.62,0.12,0.45,0.07,0.75,0.72,0.82,0.8,0.31,0.22,0.3,0.4,0.29,0.92,0.49
retromenu.csv,0.0,0.88,0.67,0.81,0.22,0.65,0.09,0.81,0.76,0.83,0.0,0.2,0.71,0.34,0.6,0.39,0.76,0.56
smbopensoft.csv,0.41,0.79,0.59,0.32,0.11,0.28,0.07,0.63,0.77,0.83,0.7,0.04,0.25,0.17,0.49,0.2,0.71,0.33
triplea.csv,0.64,0.52,0.77,0.71,0.13,0.34,0.12,0.65,0.8,0.85,0.72,0.05,0.35,0.23,0.41,0.32,0.58,0.32
tweetsharp.csv,0.41,0.42,0.35,0.75,0.11,0.24,0.2,0.51,0.75,0.79,0.65,0.01,0.15,0.15,0.4,0.14,0.86,0.23
xamj.csv,0.6,0.69,0.67,0.62,0.15,0.37,0.15,0.67,0.73,0.82,0.75,0.07,0.24,0.14,0.37,0.35,0.72,0.57
