,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,omseek.csv,sigil.csv,img-browse-sort.csv,tango-cs.csv,nativeclient.csv
bacula.csv,0.63,0.54,0.61,0.5,0.75,0.54,0.65,0.65,0.67,0.57,0.67,0.61,0.5,0.36,0.53,0.59,0.67,0.75,0.45,0.62
decidr.csv,0.59,0.71,0.67,0.64,0.63,0.5,0.43,0.09,0.47,0.13,0.73,0.37,0.36,0.42,0.63,0.65,0.65,0.21,0.55,0.27
elmo.csv,0.13,0.61,0.05,0.17,0.2,0.32,0.13,0.0,0.18,0.04,0.12,0.05,0.05,0.0,0.0,0.15,0.05,0.0,0.24,0.05
gpac.csv,0.04,0.17,0.13,0.56,0.3,0.27,0.46,0.0,0.47,0.53,0.0,0.68,0.05,0.13,0.05,0.68,0.0,0.3,0.51,0.61
img-browse-sort.csv,0.72,0.71,0.64,0.64,0.71,0.58,0.69,0.63,0.68,0.66,0.59,0.66,0.65,0.48,0.68,0.63,0.81,0.71,0.36,0.54
jajuk.csv,0.71,0.43,0.66,0.79,0.73,0.65,0.54,0.67,0.69,0.62,0.3,0.4,0.69,0.13,0.64,0.68,0.64,0.71,0.05,0.6
ktc.csv,0.77,0.44,0.68,0.71,0.63,0.61,0.2,0.62,0.6,0.41,0.53,0.57,0.52,0.46,0.29,0.58,0.62,0.61,0.56,0.45
nativeclient.csv,0.76,0.43,0.7,0.76,0.63,0.64,0.55,0.62,0.68,0.48,0.61,0.59,0.49,0.48,0.6,0.7,0.81,0.52,0.26,0.67
neoengine.csv,0.48,0.17,0.66,0.7,0.7,0.59,0.45,0.62,0.39,0.62,0.68,0.33,0.69,0.66,0.07,0.68,0.63,0.72,0.43,0.46
nicepress.csv,0.63,0.59,0.42,0.62,0.72,0.47,0.49,0.4,0.71,0.69,0.66,0.24,0.3,0.39,0.64,0.46,0.64,0.53,0.59,0.61
omseek.csv,0.42,0.0,0.28,0.43,0.44,0.48,0.02,0.4,0.37,0.13,0.18,0.02,0.13,0.33,0.23,0.66,0.62,0.55,0.43,0.26
rosegarden.csv,0.79,0.58,0.52,0.72,0.68,0.64,0.46,0.51,0.71,0.65,0.49,0.64,0.39,0.4,0.47,0.74,0.77,0.72,0.4,0.61
sigil.csv,0.64,0.45,0.52,0.56,0.7,0.36,0.42,0.24,0.5,0.35,0.45,0.09,0.1,0.66,0.59,0.46,0.8,0.5,0.39,0.18
smarttag.csv,0.75,0.24,0.4,0.38,0.63,0.57,0.53,0.01,0.62,0.63,0.39,0.25,0.02,0.7,0.66,0.66,0.47,0.18,0.5,0.11
sylpheed-claws.csv,0.17,0.0,0.09,0.0,0.0,0.0,0.0,0.55,0.13,0.0,0.37,0.69,0.72,0.13,0.0,0.0,0.0,0.13,0.6,0.0
tango-cs.csv,0.61,0.24,0.56,0.57,0.75,0.67,0.3,0.56,0.49,0.66,0.52,0.6,0.58,0.49,0.57,0.73,0.64,0.61,0.53,0.59
vapor.csv,0.0,0.33,0.66,0.57,0.0,0.65,0.53,0.57,0.0,0.0,0.63,0.0,0.0,0.0,0.17,0.68,0.0,0.0,0.0,0.26
xemeiah.csv,0.58,0.24,0.63,0.48,0.53,0.47,0.33,0.62,0.57,0.7,0.52,0.53,0.6,0.44,0.74,0.34,0.68,0.49,0.58,0.17
zorannt.csv,0.45,0.43,0.25,0.53,0.68,0.43,0.47,0.6,0.21,0.26,0.43,0.5,0.67,0.5,0.42,0.56,0.51,0.79,0.4,0.4
zscreen.csv,0.71,0.24,0.65,0.46,0.37,0.71,0.75,0.16,0.64,0.64,0.51,0.25,0.22,0.47,0.65,0.65,0.78,0.47,0.55,0.36
