,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,arm-webradio.csv
alleg.csv,0.71,0.91,0.93,0.75,0.8,0.73,0.7,0.52,0.92,0.88,0.98,0.58,0.02,0.75,0.92,0.81,0.7
arm-webradio.csv,0.8,0.61,0.36,0.6,0.54,0.6,0.96,0.67,0.7,0.46,1.01,0.56,0.77,0.61,0.65,0.72,0.0
bwapi.csv,0.51,0.85,0.94,0.87,0.78,0.94,0.82,0.96,0.64,0.59,0.78,0.85,0.94,0.54,0.57,0.01,0.69
co-ode-owl-plugins.csv,1.0,0.83,0.84,0.81,0.75,0.87,0.95,0.0,0.89,0.94,0.94,0.9,0.91,1.01,0.92,0.9,0.72
firebreath.csv,0.81,0.72,0.59,0.79,0.61,0.07,0.66,0.94,0.69,0.71,0.9,0.95,0.87,0.98,0.51,0.73,0.97
frogatto.csv,0.6,0.7,0.5,0.52,0.53,0.63,0.75,0.72,0.64,0.48,0.78,0.57,0.7,0.44,0.0,0.85,0.6
gretl.csv,0.86,0.73,0.58,0.77,0.73,0.94,0.66,0.49,0.94,0.9,0.79,0.07,0.74,0.35,0.69,0.93,0.38
jasperreports.csv,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.93,1.0,1.0,0.99,0.04,1.0,0.99,1.0
konversation.csv,0.94,0.75,0.08,0.89,0.77,0.98,1.0,0.94,0.93,1.0,0.94,0.9,0.88,0.77,0.8,0.96,0.66
linuxsh.csv,0.89,0.0,0.43,0.91,0.61,0.63,0.79,0.82,0.6,0.78,0.88,0.89,0.92,0.68,0.8,0.74,0.83
moviesandbox.csv,0.83,0.63,0.41,0.68,0.0,0.74,0.86,0.78,0.74,0.5,0.94,0.73,0.84,0.53,0.52,0.64,0.55
ontomorphtab.csv,0.0,0.53,0.76,0.45,0.92,0.76,0.81,0.87,0.6,0.56,0.68,0.8,0.86,0.71,0.59,0.84,0.79
opengs.csv,0.79,0.75,0.43,0.77,0.7,0.81,1.0,0.84,0.02,0.67,0.94,0.5,0.58,0.27,0.89,0.95,0.75
scite-ru.csv,0.91,0.91,0.63,0.65,0.87,0.67,0.24,0.72,0.75,0.95,0.78,0.69,0.76,1.12,0.82,0.67,0.67
tokratan.csv,0.89,0.74,0.84,0.86,0.78,0.83,1.01,1.0,0.96,0.07,0.83,0.96,0.98,0.66,0.92,0.97,1.0
vrjuggler.csv,0.86,0.97,0.67,0.76,0.88,0.79,0.75,0.92,0.58,0.87,0.06,0.67,0.81,0.86,0.84,0.92,0.99
xuggle.csv,0.95,0.77,0.67,0.13,0.95,0.93,0.86,0.46,0.65,0.86,1.0,0.97,0.84,1.01,0.81,0.95,0.83
