,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.58,0.91,0.41,0.66,0.6,0.49,0.53,0.53,0.57,0.65,0.62,0.55,0.68,0.47,0.82
bibletime.csv,0.46,0.45,0.33,0.51,0.49,0.4,0.46,0.52,0.43,0.35,0.38,0.44,0.49,0.53,0.53
boost.csv,0.69,0.65,0.46,0.72,0.71,0.51,0.68,0.58,0.45,0.51,0.54,0.53,0.59,0.58,0.69
doomlegacy.csv,0.48,0.5,0.34,0.34,0.46,0.43,0.36,0.45,0.42,0.36,0.36,0.45,0.47,0.41,0.48
gpac.csv,0.73,0.77,0.5,0.53,0.73,0.59,0.75,0.75,0.65,0.53,0.51,0.82,0.67,0.71,0.8
kftpgrabber.csv,0.71,0.54,0.49,0.52,0.51,0.56,0.66,0.88,0.71,0.5,0.62,0.81,0.71,0.86,0.8
nativeclient.csv,0.52,0.48,0.65,0.45,0.59,0.53,0.52,0.75,0.48,0.43,0.45,0.54,0.44,0.54,0.57
netatalk.csv,0.54,0.5,0.42,0.58,0.57,0.46,0.71,0.56,0.55,0.44,0.53,0.66,0.57,0.73,0.53
open-ms.csv,0.78,0.78,0.93,0.97,0.97,0.71,0.8,0.63,0.61,0.86,0.84,0.89,0.92,0.83,0.9
openmsx.csv,0.51,0.76,0.46,0.65,0.6,0.53,0.43,0.68,0.59,0.36,0.39,0.56,0.63,0.57,0.6
rosegarden.csv,0.66,0.64,0.62,0.77,0.64,0.56,0.91,0.66,0.5,0.43,0.62,0.58,0.57,0.7,0.67
rsyslog.csv,0.56,0.58,0.47,0.42,0.64,0.47,0.48,0.59,0.46,0.39,0.46,0.56,0.53,0.54,0.61
sandiaportals.csv,0.53,0.5,0.4,0.43,0.49,0.42,0.5,0.57,0.64,0.53,0.36,0.56,0.53,0.43,0.62
xmoto.csv,0.52,0.53,0.36,0.51,0.52,0.45,0.54,0.52,0.36,0.36,0.47,0.61,0.53,0.47,0.6
xqilla.csv,0.88,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.67,0.5,0.0,0.92,0.5,0.0,0.0
