,rosegarden.csv,rsyslog.csv,gpac.csv,bacnet.csv,boost.csv,kftpgrabber.csv,netatalk.csv,openmsx.csv,doomlegacy.csv,xqilla.csv,bibletime.csv,open-ms.csv,xmoto.csv,sandiaportals.csv,nativeclient.csv
bacnet.csv,0.39,0.38,0.63,0.96,0.39,0.49,0.36,0.44,0.45,0.04,0.46,0.32,0.51,0.73,0.28
bibletime.csv,0.45,0.61,0.65,0.46,0.45,0.49,0.45,0.53,0.67,0.06,0.99,0.36,0.63,0.6,0.68
boost.csv,0.5,0.5,0.6,0.32,0.97,0.48,0.44,0.52,0.63,0.05,0.65,0.34,0.54,0.55,0.5
doomlegacy.csv,0.49,0.71,0.62,0.53,0.47,0.56,0.52,0.51,0.97,0.06,0.8,0.38,0.66,0.73,0.56
gpac.csv,0.33,0.38,0.96,0.44,0.31,0.37,0.41,0.31,0.43,0.08,0.69,0.27,0.43,0.6,0.45
kftpgrabber.csv,0.5,0.66,0.61,0.43,0.46,0.95,0.37,0.23,0.38,0.03,0.51,0.31,0.48,0.2,0.46
nativeclient.csv,0.46,0.64,0.49,0.35,0.41,0.46,0.36,0.31,0.62,0.0,0.76,0.37,0.62,0.6,0.99
netatalk.csv,0.56,0.5,0.5,0.46,0.38,0.58,1.0,0.4,0.5,0.03,0.58,0.32,0.51,0.38,0.45
open-ms.csv,0.38,0.48,0.2,0.19,0.17,0.51,0.21,0.37,0.58,0.05,0.49,0.97,0.33,0.36,0.13
openmsx.csv,0.41,0.55,0.62,0.29,0.42,0.44,0.41,0.98,0.63,0.06,0.88,0.33,0.4,0.69,0.63
rosegarden.csv,0.97,0.58,0.49,0.32,0.48,0.47,0.32,0.45,0.68,0.11,0.61,0.37,0.67,0.51,0.45
rsyslog.csv,0.52,1.0,0.5,0.47,0.5,0.52,0.43,0.31,0.61,0.06,0.6,0.39,0.65,0.62,0.6
sandiaportals.csv,0.47,0.77,0.69,0.5,0.53,0.58,0.5,0.58,0.61,0.04,0.87,0.35,0.63,1.0,0.66
xmoto.csv,0.51,0.54,0.68,0.4,0.45,0.56,0.57,0.4,0.65,0.04,0.7,0.34,0.97,0.65,0.58
xqilla.csv,0.04,0.0,0.07,0.0,0.0,0.0,0.25,0.0,0.02,0.8,0.03,0.06,0.11,0.0,0.01
